Model,MAE,RMSE,R2,MAPE
Ensemble,39704.29,79450.56,0.9749,6.47
LightGBM,38364.71,78655.34,0.974,6.34
XGBoost,42853.3,85924.76,0.9709,7.02
CatBoost,58397.77,108751.31,0.9596,9.16
