brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price,split
kia,seltos,gtx plus at,unknown,ka-01,diesel,automatic,dealer,unknown,7.0,67148.0,9592.6,1,,,1319000.0,train
maruti suzuki,wagon r,vxi,hebbal,ka-06,petrol,manual,dealer,unknown,8.0,45234.0,5654.2,1,1.0,560064.0,380000.0,train
skoda,kushaq,ambition at,whitefield,ka-01,petrol,automatic,dealer,red,5.0,70735.0,14147.0,1,1.0,560066.0,854300.0,train
datsun,redi-go,s amt,malleshwaram,ka-05,petrol,automatic,dealer,unknown,8.0,56500.0,7062.5,1,0.0,560003.0,270000.0,train
tata,zest,xms,unknown,ka-41,petrol,manual,unknown,unknown,10.0,92856.0,9285.6,1,,,322000.0,train
nissan,terrano,xv d thp 110 ps,bellandur,ka-51,diesel,manual,dealer,grey,13.0,173542.0,13349.4,2,1.0,560103.0,340000.0,train
maruti suzuki,celerio,zxi amt,unknown,ka-03,petrol,automatic,dealer,unknown,11.0,66071.0,6006.5,1,,,350000.0,train
maruti suzuki,dzire,vxi,unknown,ka-05,petrol,manual,unknown,unknown,12.0,135041.0,11253.4,1,,,320000.0,train
hyundai,grand i10,sportz (o) kappa,hebbal,ka-51,petrol,manual,dealer,blue,9.0,90452.0,10050.2,1,1.0,560064.0,393600.0,train
skoda,fabia,ambition plus,nandini layout,ka-01,petrol,manual,dealer,unknown,14.0,67904.0,4850.3,1,1.0,,205000.0,train
audi,a4,technology 40 tfsi,unknown,ka-03,petrol,automatic,dealer,unknown,4.0,45000.0,11250.0,1,0.0,,3157000.0,train
maruti suzuki,ciaz,alpha shvs,gandhi nagar,ka-01,petrol,manual,dealer,blue,7.0,51927.0,7418.1,1,1.0,560009.0,694032.0,train
nissan,magnite,xv premium,whitefield,ka-53,petrol,manual,dealer,red,3.0,69400.0,23133.3,1,1.0,560066.0,613808.0,train
ford,ecosport,titanium,hebbal,ka-03,diesel,manual,dealer,orange,12.0,113828.0,9485.7,2,1.0,560064.0,420000.0,train
ford,figo,duratec exi,malleshwaram,ka-02,petrol,manual,dealer,white,15.0,64500.0,4300.0,1,0.0,560003.0,211000.0,train
maruti suzuki,dzire,vxi,unknown,od-17,petrol,manual,dealer,unknown,13.0,101994.0,7845.7,1,,,260000.0,train
hyundai,grand i10,sportz kappa,hebbal,ka-20,petrol,manual,dealer,grey,7.0,68190.0,9741.4,2,1.0,560064.0,368911.0,train
mahindra,bolero neo,n 10,jp nagar,ka-05,diesel,manual,dealer,grey,5.0,47380.0,9476.0,1,1.0,560078.0,900341.0,train
maruti suzuki,baleno,zeta at,mysore road,ka-01,petrol,automatic,dealer,white,10.0,90500.0,9050.0,3,0.0,560039.0,412000.0,train
renault,duster,85 ps rxs mt,whitefield,ka-03,diesel,manual,dealer,brown,7.0,116516.0,16645.1,1,1.0,560066.0,625500.0,train
volkswagen,polo,highline1.2l,5 floor building 5 floor building,ka-03,petrol,manual,dealer,red,13.0,77551.0,5965.5,3,1.0,560066.0,395000.0,train
maruti suzuki,baleno,alpha,hebbal,ka-51,petrol,manual,dealer,white,9.0,67816.0,7535.1,1,1.0,560023.0,509000.0,train
hyundai,eon,magna,bannerghatta,ka-01,petrol,manual,dealer,grey,13.0,75000.0,5769.2,1,0.0,560076.0,222000.0,train
skoda,kushaq,ambition mt,hebbal,ka-03,petrol,manual,dealer,white,4.0,32500.0,8125.0,1,1.0,560103.0,942000.0,train
renault,scala,rxl,hebbal,ka-51,diesel,manual,dealer,unknown,12.0,91289.0,7607.4,1,1.0,,295000.0,train
mahindra,nuvosport,n8,hebbal,ka-16,diesel,manual,dealer,silver,10.0,100561.0,10056.1,3,1.0,560064.0,375500.0,train
tata,nexon,xz plus sunroof,hebbal,ka-27,petrol,manual,dealer,unknown,5.0,53113.0,10622.6,1,1.0,560064.0,699900.0,train
renault,kiger,rxz cvt,nisarga layout harapanahalli,ka-51,petrol,automatic,dealer,blue,2.0,24013.0,12006.5,1,1.0,560066.0,880000.0,train
tata,tiago,xza,hebbal,ka-22,petrol,automatic,dealer,white,7.0,31033.0,4433.3,2,1.0,560064.0,412594.0,train
mahindra,xuv700,ax7 at 6 str,hebbal,ka-05,petrol,automatic,dealer,black,2.0,28500.0,14250.0,1,1.0,562157.0,1953000.0,train
ford,ecosport,titanium ecoboost,mysore road,ka-53,petrol,manual,dealer,white,11.0,74500.0,6772.7,2,0.0,560039.0,468000.0,train
kia,seltos,gtx plus at,unknown,ka-05,diesel,automatic,unknown,unknown,4.0,68348.0,17087.0,1,,,1535000.0,train
hyundai,venue,sx plus dct,bannerghatta,ka-59,petrol,automatic,dealer,white,7.0,60500.0,8642.9,1,1.0,560076.0,781000.0,train
hyundai,i20,asta (o) ivt,pin,ka-01,petrol,automatic,dealer,red,2.0,4781.0,2390.5,1,1.0,560066.0,1050000.0,train
maruti suzuki,baleno,delta,unknown,ka-03,petrol,manual,unknown,unknown,2.0,80104.0,40052.0,1,,,620000.0,train
toyota,innova crysta,zx 7str,hebbal,ka-51,diesel,manual,dealer,white,1.0,16012.0,16012.0,1,1.0,560023.0,3190000.0,train
skoda,rapid,active,hebbal,ka-05,petrol,manual,dealer,white,10.0,103909.0,10390.9,1,1.0,560064.0,329629.0,train
kia,seltos,htk plus at,hebbal,ka-04,diesel,automatic,dealer,unknown,5.0,46000.0,9200.0,1,1.0,562157.0,1178000.0,train
hyundai,creta,sx (o) 7 dct,hebbal,ka-53,petrol,automatic,dealer,white,4.0,17500.0,4375.0,1,1.0,562157.0,1560000.0,train
honda,wr-v,vx mt,hebbal,ka-01,petrol,manual,dealer,white,8.0,25617.0,3202.1,2,1.0,560064.0,585886.0,train
tata,nexon,xm,hebbal,ka-27,diesel,manual,dealer,white,4.0,73579.0,18394.8,1,1.0,560023.0,655000.0,train
hyundai,verna,s,gandhi nagar,ka-51,petrol,manual,dealer,red,10.0,84369.0,8436.9,2,1.0,560009.0,450000.0,train
toyota,corolla altis,g,malleshwaram,hr-26,petrol,manual,dealer,white,13.0,88000.0,6769.2,2,0.0,560003.0,431000.0,train
kia,seltos,htk plus,unknown,ka-01,petrol,manual,unknown,unknown,6.0,61267.0,10211.2,1,,,900000.0,train
renault,duster,rxs,whitefield,ka-02,petrol,manual,dealer,unknown,8.0,85049.0,10631.1,1,1.0,560066.0,455992.0,train
hyundai,verna,fluidic sx,kr puram,ka-01,diesel,manual,dealer,silver,14.0,171742.0,12267.3,4,1.0,560036.0,240000.0,train
hyundai,i10,sportz kappa2,malleshwaram,ka-04,petrol,manual,dealer,grey,13.0,105500.0,8115.4,3,0.0,560003.0,214000.0,train
skoda,rapid,elegance cr mt,arekere,tn-11,diesel,manual,dealer,red,14.0,225354.0,16096.7,2,1.0,560066.0,200000.0,train
maruti suzuki,ignis,delta amt,whitefield,ka-03,petrol,automatic,dealer,orange,4.0,35500.0,8875.0,1,1.0,560066.0,531000.0,train
hyundai,i20,asta (o) dct,nexus shanti niketan mall,ka-05,petrol,automatic,dealer,red,5.0,112000.0,22400.0,1,0.0,560066.0,698000.0,train
ford,ecosport,titanium thunder edtion,hebbal,ka-04,petrol,manual,dealer,unknown,6.0,54666.0,9111.0,1,1.0,560064.0,734838.0,train
maruti suzuki,xl6,zeta mt,malleshwaram,ka-02,cng,manual,dealer,unknown,1.0,25500.0,25500.0,1,1.0,560003.0,1184000.0,train
honda,city,sv,whitefield,ka-05,petrol,manual,dealer,unknown,11.0,74000.0,6727.3,1,0.0,560066.0,461000.0,train
datsun,redi-go,t (o,bannerghatta,ka-14,petrol,manual,dealer,grey,10.0,71000.0,7100.0,1,1.0,560076.0,193000.0,train
chevrolet,beat,lt,gandhi nagar,ka-09,diesel,manual,dealer,unknown,15.0,112817.0,7521.1,1,1.0,560009.0,152000.0,train
hyundai,i10,magna,unknown,ka-04,petrol,manual,dealer,unknown,11.0,28251.0,2568.3,1,,,233000.0,train
maruti suzuki,eeco,7 str,hebbal,ka-51,petrol,manual,dealer,grey,6.0,30456.0,5076.0,1,1.0,560023.0,440000.0,train
hyundai,venue,sx imt,yeshwanthpur,ka-01,petrol,manual,dealer,unknown,4.0,43696.0,10924.0,1,1.0,560022.0,733900.0,train
toyota,camry,at,3west circle road v v puram,ka-51,petrol,automatic,dealer,white,14.0,79186.0,5656.1,1,1.0,560066.0,933500.0,train
hyundai,i10,sportz at kappa2,bannerghatta,ka-05,petrol,automatic,dealer,grey,14.0,41500.0,2964.3,1,0.0,560076.0,325000.0,train
maruti suzuki,baleno,delta,yeshwanthpur,ka-06,petrol,manual,dealer,unknown,4.0,64738.0,16184.5,1,1.0,560022.0,625000.0,train
hyundai,venue,sx plus dct,whitefield,ka-03,petrol,automatic,dealer,blue,7.0,66663.0,9523.3,1,1.0,560066.0,607200.0,train
renault,duster,85 ps rxs mt,yeshwanthpur,ka-51,diesel,manual,dealer,brown,9.0,81511.0,9056.8,1,1.0,560022.0,540115.0,train
maruti suzuki,grand vitara,alpha plus ecvt,hebbal,ka-22,hybrid,automatic,dealer,black,3.0,107462.0,35820.7,1,1.0,560064.0,1349100.0,train
renault,triber,rxz,hebbal,ka-01,petrol,manual,dealer,unknown,2.0,24000.0,12000.0,1,1.0,562157.0,715000.0,train
toyota,urban cruiser,high grade mt,division ka,ka-04,petrol,manual,dealer,blue,6.0,78637.0,13106.2,2,1.0,560066.0,730000.0,train
mg,hector,sharp pro cvt,whitefield,ka-03,petrol,automatic,dealer,brown,3.0,16256.0,5418.7,1,1.0,560066.0,1615000.0,train
datsun,go,t,hebbal,ka-09,petrol,manual,dealer,silver,12.0,25956.0,2163.0,1,1.0,560064.0,202364.0,train
renault,kiger,rxt mt,gandhi nagar,ka-01,petrol,manual,dealer,blue,2.0,19258.0,9629.0,1,1.0,560009.0,591700.0,train
ford,ecosport,titanium +,whitefield,ka-63,diesel,manual,dealer,grey,8.0,79183.0,9897.9,2,1.0,560066.0,608200.0,train
renault,kwid,rxt,whitefield,ka-51,petrol,manual,dealer,grey,11.0,78073.0,7097.5,1,1.0,560066.0,225000.0,train
hyundai,creta,sx (o) automatic,hebbal,ka-32,diesel,automatic,dealer,unknown,5.0,61500.0,12300.0,1,0.0,562157.0,1335000.0,train
ford,figo,duratec exi,malleshwaram,ka-04,petrol,manual,dealer,unknown,13.0,102500.0,7884.6,1,0.0,560003.0,241000.0,train
maruti suzuki,swift,vxi o,gnana bharathi,ka-41,petrol,manual,dealer,white,9.0,96777.0,10753.0,2,1.0,560066.0,522000.0,train
hyundai,venue,sx imt,unknown,ka-51,petrol,manual,unknown,unknown,5.0,51739.0,10347.8,1,,,714205.0,train
renault,duster,85 ps rxl,whitefield,ka-51,diesel,manual,dealer,white,12.0,98587.0,8215.6,1,1.0,560066.0,492000.0,train
maruti suzuki,s presso,vxi plus amt,near ashwini clinic 1 st black bsk 6th stage,ka-01,petrol,automatic,dealer,unknown,6.0,27550.0,4591.7,1,1.0,,460000.0,train
renault,kwid,climber mt,koramangala,ka-51,petrol,manual,dealer,silver,4.0,44179.0,11044.8,2,1.0,560034.0,335000.0,train
volkswagen,polo,gt at,whitefield,ka-01,petrol,automatic,dealer,unknown,11.0,100034.0,9094.0,1,1.0,560066.0,519000.0,train
honda,br-v,v,hebbal,ka-03,petrol,manual,dealer,silver,9.0,78408.0,8712.0,1,1.0,560064.0,587100.0,train
hyundai,i20,asta,pin behind rja technology park,ka-53,petrol,manual,dealer,silver,11.0,103363.0,9396.6,1,1.0,560066.0,400000.0,train
hyundai,grand i10 nios,asta kappa,nexus shanti niketan mall,ka-03,petrol,manual,dealer,blue,3.0,19000.0,6333.3,1,1.0,560066.0,703000.0,train
maruti suzuki,ciaz,alpha at shvs,nagar,ka-01,petrol,automatic,dealer,unknown,5.0,62679.0,12535.8,1,1.0,,760000.0,train
jaguar,xf,unknown,unknown,ka-05,petrol,automatic,dealer,unknown,12.0,94000.0,7833.3,1,0.0,,1340000.0,train
tata,zest,xm,hebbal,ka-04,petrol,manual,dealer,unknown,12.0,95275.0,7939.6,1,1.0,560023.0,266349.0,train
hyundai,xcent,s (o,bannerghatta,wb-02,petrol,manual,dealer,unknown,10.0,37000.0,3700.0,1,0.0,560076.0,398000.0,train
ford,figo,duratec zxi,whitefield,ka-51,petrol,manual,dealer,silver,14.0,56500.0,4035.7,1,0.0,560066.0,231000.0,train
hyundai,eon,magna +,malleshwaram,ka-22,petrol,manual,dealer,silver,12.0,36000.0,3000.0,2,0.0,560003.0,232000.0,train
