segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,owner,color,age
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 htx ivt,23936.0,Petrol,Automatic,KA-53,1294000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 htk o,12078.0,Petrol,Automatic,KA-01,1354000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Tata,Nexon,xz 12 rtn,43941.0,Petrol,Automatic,KA-05,696000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,15 mpi ivt sx,27709.0,Petrol,Automatic,KA-03,1309000.0,1.0,White,6.0
Mass Market,S5,No,Bangalore,MG,Gloster,44 7 str sharp,43944.0,Diesel,Automatic,KA-01,2476000.0,2.0,White,6.0
Luxury,S5,No,Bangalore,Audi,Q5,45 tfsi q tech,27532.0,Petrol,Automatic,KA-03,5079000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,16 vtvt sx at,32058.0,Petrol,Automatic,KA-19,1046000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Volkswagen,Tiguan,20l tsi elegance,24091.0,Petrol,Automatic,KA-09,2992000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Volkswagen,Virtus,gt plus 15 tsi dsg,27164.0,Petrol,Automatic,KA-04,1583000.0,1.0,Maroon,3.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus mpi,48019.0,Petrol,Automatic,KA-01,642000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus tsi,18331.0,Petrol,Automatic,KA-04,912000.0,1.0,Black,6.0
Mass Market,S5,No,Bangalore,Renault,Kwid,rxt 10 easy r bs iv,55202.0,Petrol,Automatic,KA-41,314000.0,2.0,Black,10.0
Mass Market,S5,No,Bangalore,Mahindra,Thar,lx d at 4wd 4s ht,25838.0,Diesel,Automatic,KA-02,1578000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Toyota,Innova Hycross,hybrid zx opt7s,6151.0,Petrol,Automatic,KA-53,3642000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Tata,Nexon,xma s,21792.0,Petrol,Automatic,KA-01,836000.0,1.0,White,3.0
