segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,owner,color,age
Mass Market,S5,No,Bangalore,Skoda,Kushaq,style 10 tsi at,15645.0,Petrol,Automatic,KA-03,1297000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,12 comfortline,44619.0,Petrol,Manual,KA-05,562000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 6 mt htx,26416.0,Petrol,Manual,KA-53,1393000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Hyundai,Aura,12 kappa s amt,9402.0,Petrol,Automatic,KA-50,648000.0,1.0,Maroon,4.0
Mass Market,S5,No,Bangalore,Skoda,Kushaq,style 15 tsi at,34799.0,Petrol,Automatic,KA-03,1342000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Volkswagen,Virtus,topline 10 tsi at,31577.0,Petrol,Automatic,KA-02,1386000.0,1.0,Maroon,4.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Fronx,delta ags,12880.0,Petrol,Automatic,KA-01,879000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,15 mpi sx mt,44773.0,Petrol,Manual,KA-03,1158000.0,1.0,White,6.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,sx crdi at,35374.0,Diesel,Automatic,KA-03,1517000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Xl6,smart hybrid zeta mt,32440.0,Petrol,Manual,KA-09,944000.0,1.0,Red,7.0
Mass Market,S5,No,Bangalore,Kia,Carnival,d 22 8 at limousine 7,100090.0,Diesel,Automatic,KA-04,2374000.0,1.0,White,6.0
Mass Market,S5,No,Bangalore,Skoda,Kylaq,10 signaturetsi at,20343.0,Petrol,Automatic,KA-50,987000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Hyundai,I20,new new sportz mt,30461.0,Petrol,Manual,KA-05,697000.0,1.0,Black,5.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,highline 10 tsi at,33070.0,Petrol,Automatic,KA-01,1149000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,MG,Astor,zs vti tech savvy cvt,35473.0,Petrol,Automatic,KA-51,1124000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,S-Cross,s cross s cross smart hybrid alpha mt,30515.0,Petrol,Manual,KA-41,782000.0,2.0,White,6.0
Mass Market,S5,No,Bangalore,Skoda,Slavia,style 10 tsi mt,16106.0,Petrol,Manual,KA-01,1218000.0,1.0,Maroon,3.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,topline 10 tsi at,20335.0,Petrol,Automatic,KA-03,1296000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,16 s vtvt mt,77297.0,Petrol,Manual,KA-05,684000.0,2.0,White,11.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv300,gasoline w6 mt,36111.0,Petrol,Manual,KA-01,722000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv700,ax5 pet at 5 seater,36359.0,Petrol,Automatic,KA-03,1642000.0,1.0,Maroon,3.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 6mt htx,46705.0,Petrol,Manual,KA-05,1227000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,16 vtvt sx at,79103.0,Petrol,Automatic,KA-51,886000.0,1.0,White,8.0
Mass Market,S5,No,Bangalore,Ford,Freestyle,12 titanium mt,11577.0,Petrol,Manual,KA-51,656000.0,1.0,Black,5.0
Mass Market,S5,No,Bangalore,Honda,Amaze,12 v cvt,34507.0,Petrol,Automatic,KA-04,628000.0,2.0,Maroon,8.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 6mt htx,36473.0,Petrol,Manual,KA-34,1382000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Hyundai,Alcazar,15 prestige exe 7s mt,44277.0,Diesel,Manual,KA-01,1542000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Skoda,Slavia,style 10 tsi at,25421.0,Petrol,Automatic,KA-35,1393000.0,1.0,Maroon,2.0
Mass Market,S5,No,Bangalore,Jeep,Compass,limited o at,22156.0,Petrol,Automatic,KA-01,1742000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,16 e plus,56528.0,Petrol,Manual,KA-53,724000.0,1.0,White,10.0
Mass Market,S5,No,Bangalore,Skoda,Slavia,style 10 tsi at,20903.0,Petrol,Automatic,KA-01,1324000.0,1.0,Maroon,3.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 htk o,12078.0,Petrol,Manual,KA-01,1354000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Tata,Nexon,xz 12 rtn,43941.0,Petrol,Manual,KA-05,696000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,15 mpi ivt sx,27709.0,Petrol,Automatic,KA-03,1294000.0,1.0,White,6.0
Mass Market,S5,No,Bangalore,Jeep,Compass,limited plus 44 at,48154.0,Diesel,Automatic,KA-04,1643000.0,1.0,White,6.0
Mass Market,S5,No,Bangalore,Honda,Jazz,12 v cvt,37109.0,Petrol,Automatic,KA-53,593000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Skoda,Octavia,style 18 tsi at,57111.0,Petrol,Automatic,KA-01,1432000.0,1.0,Maroon,8.0
Mass Market,S5,No,Bangalore,MG,Hector,savvy pro cvt,40048.0,Petrol,Automatic,KA-51,1643000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,16 vtvt sx at,32121.0,Petrol,Automatic,KA-19,1046000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Baleno,aplha ags,17762.0,Petrol,Automatic,KA-01,854000.0,1.0,Black,3.0
Mass Market,S5,No,Bangalore,Volkswagen,Virtus,gt plus 15 tsi dsg,27187.0,Petrol,Automatic,KA-04,1583000.0,1.0,Maroon,3.0
Mass Market,S5,No,Bangalore,MG,Hector,sharp dct,34989.0,Petrol,Automatic,KA-05,1194000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv700,ax7 7s,36384.0,Petrol,Manual,KA-51,1624000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus mpi,48047.0,Petrol,Manual,KA-01,642000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Hyundai,I20 N Line,n8 10 turbo dct,1037.0,Petrol,Automatic,KA-01,1212000.0,1.0,Black,1.0
Mass Market,S5,No,Bangalore,Honda,Elevate,vx mt,24625.0,Petrol,Manual,KA-01,1248000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Toyota,Urban Cruiser Hyryder,e mt,16099.0,Petrol,Manual,KA-41,1098000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Toyota,Glanza,g mt,37326.0,Petrol,Manual,KA-03,756000.0,1.0,Black,4.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,sx executive,36793.0,Petrol,Manual,KA-53,1074000.0,2.0,White,5.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Grand Vitara,strong hybrid alpha plus at,15504.0,Petrol,Automatic,KA-05,1863000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Tata,Altroz,dca xz plus sunroof,12960.0,Petrol,Automatic,KA-53,816000.0,1.0,Black,3.0
Mass Market,S5,No,Bangalore,MG,Hector,shine cvt,39473.0,Petrol,Automatic,KA-04,1182000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Mahindra,Thar,lx d at 4wd 4s ht,26833.0,Diesel,Automatic,KA-03,1598000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Grand Vitara,smart hybrid alpha at,30449.0,Petrol,Automatic,KA-03,1384000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Skoda,Slavia,style 15 tsi mt,33342.0,Petrol,Manual,KA-04,1297000.0,1.0,Maroon,4.0
Mass Market,S5,No,Bangalore,MG,Astor,zs vti tech style mt,23171.0,Petrol,Manual,KA-51,794000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Skoda,Kushaq,style 10 tsi at,27400.0,Petrol,Automatic,KA-03,1341000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Skoda,Slavia,style 10 tsi at,39371.0,Petrol,Automatic,KA-03,1297000.0,1.0,Maroon,4.0
Mass Market,S5,No,Bangalore,Hyundai,Venue,10 turbo gdi sx mt,45740.0,Petrol,Manual,KA-53,828000.0,1.0,White,6.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus tsi,18331.0,Petrol,Manual,KA-04,912000.0,1.0,Black,6.0
