segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,Direct Seller,Yes,Bangalore,Hyundai,i20,ASTA 1.2,95144.0,Petrol,Manual,KA-53,325000.0,khb colony hoskote,560066.0,1.0,Silver,14.0
Mass Market,Direct Seller,Yes,Bangalore,Hyundai,Elite i20,ASTA 1.2 DUAL TONE,49179.0,Petrol,Manual,KA-02,590000.0,rajajinagar,560010.0,1.0,White,8.0
Mass Market,Direct Seller,Yes,Bangalore,Renault,Kwid,RXT 1.0 AMT (O),30682.0,Petrol,Automatic,KA-19,350000.0,j p nagar,560078.0,2.0,Red,7.0
Mass Market,Direct Seller,Yes,Bangalore,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,81000.0,Petrol,Manual,KA-01,345000.0,banashankari,560070.0,2.0,Blue,11.0
Mass Market,Direct Seller,Yes,Bangalore,Kia,CARENS,PRESTIGE 1.5 TURBO PETROL IMT 7 STR,33299.0,Petrol,Manual,KA-05,1040000.0,bhoruka tech park,560066.0,1.0,Grey,3.0
Mass Market,Direct Seller,Yes,Bangalore,MG,HECTOR,SHARP 1.5 DCT PETROL,59992.0,Petrol,Automatic,KA-02,1300000.0,sh 35 sarjapura,560066.0,2.0,Silver,6.0
Mass Market,Direct Seller,Yes,Bangalore,Maruti Suzuki,Swift,ZXI,30644.0,Petrol,Manual,KA-41,442000.0,kengeri,560060.0,1.0,Red,14.0
Mass Market,Direct Seller,Yes,Bangalore,Nissan,MAGNITE,XV TURBO CVT,25377.0,Petrol,Automatic,KA-05,800000.0,uttarahalli hobli,560066.0,2.0,White,4.0
Mass Market,Direct Seller,Yes,Bangalore,Kia,SONET,HTK (O) 1.2 Petrol MT,23993.0,Petrol,Manual,KA-05,1080000.0,atrk complex uthrahalli main road near international school near international school,560066.0,1.0,Black,2.0
Mass Market,Direct Seller,Yes,Bangalore,Mahindra,XUV500,W8 AT,111020.0,Diesel,Automatic,KA-01,910000.0,doddanekkundi,560066.0,1.0,Red,10.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,New Figo,TITANIUM 1.5 PETROL AT,63598.0,Petrol,Automatic,KA-20,310294.0,koramangala,560034.0,2.0,White,10.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Baleno,ALPHA,39865.0,Petrol,Manual,KA-65,825000.0,magadi road tv,560091.0,1.0,White,3.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Alto,LXI,129765.0,Petrol,Manual,KA-19,120000.0,gorguntepalya tv,560022.0,3.0,Red,19.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Dzire,VDI,286548.0,Diesel,Manual,KA-05,325000.0,kundalahalli,560037.0,1.0,Silver,13.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Wagon R,VXI,89882.0,CNG,Manual,KA-04,580000.0,yeshwantpura,560022.0,1.0,White,2.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Ciaz,ALPHA,39129.0,Petrol,Manual,KA-50,715000.0,krishnan road tv,560065.0,1.0,Blue,8.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Swift,VXI,103779.0,Petrol,Manual,KA-03,350000.0,marathahalli,560037.0,2.0,Red,13.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Celerio,Vxi Amt,95693.0,Petrol,Automatic,KA-05,260000.0,yeshwantpura,560022.0,2.0,Blue,12.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Alto 800,LXI,55816.0,Petrol,Manual,KA-51,315000.0,sriranga nagar,560039.0,2.0,Red,9.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Swift,VXI,50385.0,Petrol,Manual,KA-02,650000.0,nagasandra,560073.0,1.0,Red,5.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Baleno,Zeta Ags,40642.0,Petrol,Automatic,KA-05,795000.0,kundalahalli,560037.0,1.0,Silver,2.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Swift,Zdi+,82463.0,Diesel,Manual,KA-53,695000.0,bannerghatta road,560076.0,1.0,Silver,8.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Dzire,VXI,29310.0,Petrol,Manual,KA-03,500000.0,17th cross road,560076.0,1.0,Beige,13.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Celerio,Vxi Amt,32510.0,Petrol,Automatic,KA-04,330000.0,magadi road tv,560091.0,2.0,White,11.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Dzire,TOUR,238603.0,Diesel,Manual,KA-03,385000.0,krishnan road tv,560065.0,3.0,White,10.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Brezza,VXI,27321.0,Petrol,Manual,KA-51,840000.0,muthasandra hosur main road tv,560099.0,1.0,White,4.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Brezza,VDI,77755.0,Diesel,Manual,KA-04,675000.0,channasandra village tv,560098.0,2.0,Red,9.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,S-Presso,VXI,51268.0,Petrol,Manual,KA-51,315000.0,bannerghatta road,560076.0,1.0,Red,2.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Swift,VXI,96502.0,Petrol,Manual,KA-05,450000.0,muthasandra hosur main road tv,560099.0,1.0,Grey,11.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Omni,Lpg Std,167513.0,Petrol,Manual,KA-55,150000.0,singasandra,560068.0,3.0,Silver,18.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Swift,Zxi+,20696.0,Petrol,Manual,KA-50,800000.0,tv,560077.0,1.0,Red,2.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Dzire,Zxi,57295.0,Petrol,Manual,KA-43,600000.0,marathahalli,560037.0,1.0,Red,8.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Dzire,VXI,50566.0,Petrol,Manual,KA-03,435000.0,singasandra,560068.0,1.0,Silver,13.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Alto 800,LXI,40624.0,Petrol,Manual,KA-04,250000.0,17th cross road,560076.0,1.0,Grey,12.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Swift,VXI,117157.0,Petrol,Manual,KA-05,560000.0,muthasandra hosur main road tv,560099.0,1.0,Red,4.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Swift,VXI,21524.0,Petrol,Manual,KA-50,650000.0,krishnan road tv,560065.0,1.0,White,3.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Ciaz,VXI,74247.0,Petrol,Manual,KA-04,570000.0,yeshwantpura,560022.0,1.0,Brown,10.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Swift,VDI,190389.0,Petrol,Manual,KA-19,165000.0,singasandra,560068.0,5.0,Red,18.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,Dzire,Zxi+,48157.0,Petrol,Manual,TS-07,640000.0,kundalahalli,560037.0,1.0,White,6.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Alto K10,VXI,48946.0,Petrol,Manual,KA-52,360000.0,yeshwantpura,560022.0,1.0,Silver,11.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,S-Presso,Vxi+ Ags,22025.0,Petrol,Automatic,KA-41,480000.0,yeshwantpura,560022.0,1.0,White,3.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Baleno,ZETA,72196.0,Petrol,Manual,KA-41,590000.0,singasandra,560068.0,1.0,Red,9.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Dzire,Zxi Amt,90851.0,Petrol,Automatic,KA-53,550000.0,yeshwantpura,560022.0,1.0,Blue,9.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Swift,VXI,33006.0,Petrol,Manual,KA-04,600000.0,yeshwantpura,560022.0,1.0,Grey,8.0
Mass Market,S4,No,Bangalore,Maruti Suzuki,Brezza,Zdi +,229957.0,Diesel,Manual,KA-05,585000.0,krishnan road tv,560065.0,1.0,Red,10.0
Mass Market,S4,Yes,Bangalore,Maruti Suzuki,S-Presso,Vxi+ Ags,18165.0,Petrol,Automatic,KA-53,496000.0,marathahalli,560037.0,1.0,Red,4.0
