brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
tata,nexon,xz plus,whitefield,ka-51,petrol,manual,dealer,green,3.0,17000.0,5666.7,1,1.0,560066.0,894000.0
ford,figo aspire,titanium1.5 tdci,whitefield,ka-02,diesel,manual,dealer,white,8.0,120500.0,15062.5,1,0.0,560066.0,461000.0
hyundai,eon,era,whitefield,ka-01,petrol,manual,dealer,silver,13.0,37000.0,2846.2,2,0.0,560066.0,235000.0
maruti suzuki,wagon r,zxi 1.2 ags,whitefield,ka-05,petrol,automatic,dealer,silver,3.0,28500.0,9500.0,1,1.0,560066.0,567000.0
honda,wr-v,vx mt petrol,whitefield,ka-01,petrol,manual,dealer,silver,8.0,59000.0,7375.0,1,0.0,560066.0,567000.0
hyundai,i10,sportz 1.1 irde2,whitefield,ka-01,petrol,manual,dealer,silver,10.0,42000.0,4200.0,2,1.0,560066.0,340000.0
hyundai,grand i10,asta 1.2 kappa vtvt (o),hebbal,ka-03,petrol,manual,dealer,blue,12.0,101500.0,8458.3,2,0.0,562157.0,340000.0
kia,seltos,gtx plus dct 1.4,hebbal,ka-50,petrol,automatic,dealer,white,6.0,57000.0,9500.0,1,1.0,560103.0,1159000.0
hyundai,i20 active,1.2 s,malleshwaram,ka-03,petrol,manual,dealer,red,10.0,75000.0,7500.0,3,0.0,560003.0,416000.0
mg,hector,sharp 1.5 petrol cvt,hebbal,ka-51,petrol,automatic,dealer,red,3.0,49500.0,16500.0,1,1.0,560103.0,1268000.0
ford,ecosport,titanium 1.5l ti-vct at,malleshwaram,ka-04,petrol,automatic,dealer,grey,9.0,47000.0,5222.2,1,1.0,560003.0,591000.0
renault,kwid,1.0 rxt amt,whitefield,ka-04,petrol,automatic,dealer,blue,9.0,59500.0,6611.1,2,0.0,560066.0,284000.0
maruti suzuki,eeco,5 str ac,malleshwaram,ka-02,petrol,manual,dealer,silver,3.0,23500.0,7833.3,1,1.0,560003.0,531000.0
maruti suzuki,celerio,vxi amt,hebbal,ka-03,petrol,automatic,dealer,black,12.0,40000.0,3333.3,1,0.0,562157.0,340000.0
maruti suzuki,alto k10,vxi plus ags,bannerghatta,ka-14,petrol,automatic,dealer,white,3.0,12500.0,4166.7,1,1.0,560076.0,490000.0
hyundai,i10,magna 1.1 irde2,malleshwaram,ka-04,petrol,manual,dealer,grey,12.0,44500.0,3708.3,2,0.0,560003.0,298000.0
nissan,magnite,xv turbo cvt,whitefield,ka-03,petrol,automatic,dealer,silver,4.0,49500.0,12375.0,1,1.0,560066.0,693000.0
