city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2023.0,Kia,SONET,GTX PLUS 1.5 IMT,122125.0,Diesel,Manual,KA-09,913000.0,Mass Market,Direct Seller,vega city mall,560066.0,3.0
Bangalore,2023.0,Toyota,URBAN CRUISER HYRYDER,V NEO DRIVE,33241.0,Petrol,Manual,KA-04,1290000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2021.0,Skoda,Octavia,L&K 2.0 AT,73572.0,Petrol,Automatic,KA-25,1870000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2018.0,Renault,Kwid,RXL,74196.0,Petrol,Manual,KA-09,278000.0,Mass Market,Direct Seller,vega city mall,560066.0,8.0
Bangalore,2018.0,Volkswagen,Polo,HIGHLINE PLUS 1.0 16 ALLOY,52566.0,Petrol,Manual,KA-09,591000.0,Mass Market,Direct Seller,vega city mall,560066.0,8.0
Bangalore,2022.0,Skoda,KUSHAQ,ACTIVE 1.0L TSI MT,75793.0,Petrol,Manual,KA-02,755000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2020.0,MG,HECTOR,SHARP 1.5 DCT PETROL,41095.0,Petrol,Automatic,KA-05,986000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2019.0,Datsun,Redi Go,S 1.0,44287.0,Petrol,Manual,KA-01,229000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2015.0,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,70883.0,Petrol,Automatic,KA-22,385000.0,Mass Market,Direct Seller,bellahalli,560064.0,11.0
Bangalore,2017.0,Hyundai,Creta,SX PLUS AT 1.6 PETROL,94137.0,Petrol,Automatic,KA-03,730000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2021.0,Maruti Suzuki,Baleno,DELTA PETROL 1.2,49791.0,Petrol,Manual,KA-66,577000.0,Mass Market,Direct Seller,bellahalli,560064.0,5.0
Bangalore,2017.0,Hyundai,i20 Active,1.2 SX,67856.0,Petrol,Manual,KA-04,511000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2021.0,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,69111.0,Petrol,Manual,KA-19,749000.0,Mass Market,Direct Seller,bellahalli,560064.0,5.0
Bangalore,2021.0,Renault,Kwid,RXL 1.0 AMT,30112.0,Petrol,Automatic,KA-09,275000.0,Mass Market,Direct Seller,vega city mall,560066.0,5.0
Bangalore,2018.0,Maruti Suzuki,Baleno,ZETA PETROL 1.2,77309.0,Petrol,Manual,KA-09,515000.0,Mass Market,Direct Seller,vega city mall,560066.0,8.0
Bangalore,2016.0,Maruti Suzuki,Swift,ZXI,38175.0,Petrol,Manual,KA-35,456000.0,Mass Market,Direct Seller,bellahalli,560064.0,10.0
Bangalore,2014.0,Datsun,Go,T,43209.0,Petrol,Manual,KA-09,153000.0,Mass Market,Direct Seller,vega city mall,560066.0,12.0
Bangalore,2018.0,Tata,NEXON,XM PETROL,71164.0,Petrol,Manual,KA-01,514000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2018.0,Hyundai,Eon,MAGNA +,18460.0,Petrol,Manual,KA-20,257000.0,Mass Market,Direct Seller,bellahalli,560064.0,8.0
Bangalore,2017.0,Maruti Suzuki,Baleno,ZETA PETROL 1.2,74141.0,Petrol,Manual,KA-41,518000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2023.0,Tata,NEXON,XM PETROL,22115.0,Petrol,Manual,KA-05,756000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2022.0,Kia,SELTOS,HTK PLUS 1.5 IMT,75876.0,Petrol,Manual,KA-01,780000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2023.0,Maruti Suzuki,Baleno,ALPHA PETROL 1.2,48307.0,Petrol,Manual,KA-50,792000.0,Mass Market,Direct Seller,bellahalli,560064.0,3.0
Bangalore,2016.0,Maruti Suzuki,Celerio,LDI,69066.0,Diesel,Manual,KA-19,276000.0,Mass Market,Direct Seller,bellahalli,560064.0,10.0
Bangalore,2022.0,Hyundai,VENUE,SX 1.0 TURBO IMT,43696.0,Petrol,Manual,KA-01,745000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2019.0,Hyundai,NEW SANTRO,SPORTZ AMT,29484.0,Petrol,Automatic,KA-50,396000.0,Mass Market,Direct Seller,bellahalli,560064.0,7.0
Bangalore,2018.0,Ford,Ecosport,TITANIUM + 1.5L DIESEL,79183.0,Diesel,Manual,KA-63,651000.0,Mass Market,Direct Seller,whitefield,560066.0,8.0
Bangalore,2023.0,Maruti Suzuki,FRONX,DELTA PLUS 1.2MT,31992.0,Petrol,Manual,KA-34,699000.0,Mass Market,Direct Seller,bellahalli,560064.0,3.0
