brand,model,variant,color,segment_class,fuel_type,transmission,vehicle_age,odometer_reading,km_per_year,owner_count,brand_tier,age_km_interaction,ownership_trust_score,vehicle_health_score,is_high_mileage,seller_type,inspected,selling_price,year
honda,city,1.5l i-vtec sv cvt,unknown,mid,petrol,automatic,10,78342.0,7834.2,1,2,783420.0,100,62.2,0,dealer,0,446000.0,2016
mahindra,thar,lx petrol ht 4wd at,unknown,mid,petrol,automatic,2,4777.0,2388.5,1,2,9554.0,100,93.5,0,dealer,0,1420000.0,2024
renault,kwid,rxt 0.8,unknown,economy,petrol,manual,10,54980.0,5498.0,1,1,549800.0,100,64.5,0,dealer,0,298000.0,2016
nissan,terrano,xl d plus,unknown,mid,diesel,manual,12,64819.0,5401.6,1,2,777828.0,100,57.5,0,dealer,0,434000.0,2014
skoda,rapid,style 1.6 mpi,unknown,mid,petrol,manual,9,78873.0,8763.7,1,2,709857.0,100,65.1,0,dealer,0,551000.0,2017
mg,hector plus,sharp 2.0 diesel turbo mt 6-str,unknown,premium,diesel,manual,4,72032.0,18008.0,1,3,288128.0,100,80.8,1,dealer,0,1291000.0,2022
maruti suzuki,swift,zxi plus amt,unknown,economy,petrol,automatic,2,39053.0,19526.5,1,1,78106.0,100,90.1,1,dealer,0,815000.0,2024
hyundai,venue,sx plus 1.0 turbo dct,unknown,mid,petrol,automatic,7,32276.0,4610.9,1,2,225932.0,100,75.8,0,dealer,0,730000.0,2019
maruti suzuki,swift,zdi amt,unknown,economy,diesel,automatic,8,97231.0,12153.9,1,1,777848.0,100,66.3,0,dealer,0,540000.0,2018
hyundai,creta,sx (o) 1.6 diesel,unknown,mid,diesel,manual,9,31205.0,3467.2,1,2,280845.0,100,69.9,0,dealer,0,808000.0,2017
hyundai,creta,sx 1.5 petrol,unknown,mid,diesel,manual,4,102954.0,25738.5,1,2,411816.0,100,77.7,1,dealer,0,943000.0,2022
tata,nexon,xza plus sunroof diesel,unknown,economy,diesel,automatic,6,60307.0,10051.2,1,1,361842.0,100,76.0,0,dealer,0,719000.0,2020
ford,ecosport,titanium + 1.5l petrol at,unknown,mid,petrol,automatic,7,32034.0,4576.3,1,2,224238.0,100,75.8,0,dealer,0,676000.0,2019
maruti suzuki,alto k10,vxi,unknown,economy,petrol,manual,10,83238.0,8323.8,1,1,832380.0,100,61.7,0,dealer,0,260000.0,2016
renault,kwid,rxt 1.0 amt (o),unknown,economy,petrol,automatic,5,74198.0,14839.6,1,1,370990.0,100,77.6,0,dealer,0,332000.0,2021
maruti suzuki,celerio,vxi amt,unknown,economy,petrol,automatic,11,61845.0,5622.3,1,1,680295.0,100,60.8,0,dealer,0,331000.0,2015
kia,seltos,gtx plus dct 1.4 petrol,unknown,mid,petrol,automatic,7,71203.0,10171.9,1,2,498421.0,100,71.9,0,dealer,0,1084000.0,2019
maruti suzuki,s presso,vxi plus amt,unknown,economy,petrol,automatic,4,42120.0,10530.0,1,1,168480.0,100,83.8,0,dealer,0,411000.0,2022
honda,city,1.5l i-vtec sv,unknown,mid,petrol,manual,9,97645.0,10849.4,1,2,878805.0,100,63.2,0,dealer,0,549000.0,2017
