brand,model,variant,color,segment_class,fuel_type,transmission,vehicle_age,odometer_reading,km_per_year,owner_count,brand_tier,age_km_interaction,ownership_trust_score,vehicle_health_score,is_high_mileage,seller_type,inspected,selling_price,year
hyundai,i10,era 1.1,unknown,mid,petrol,manual,13,70484.0,5421.8,1,2,916292.0,100,54.0,0,dealer,0,236000.0,2013
hyundai,i10,sportz 1.2,unknown,mid,petrol,manual,14,48539.0,3467.1,1,2,679546.0,100,53.1,0,dealer,0,230000.0,2012
honda,city,1.5l i-vtec vx cvt,unknown,mid,petrol,automatic,11,75213.0,6837.5,1,2,827343.0,100,59.5,0,dealer,0,597000.0,2015
volkswagen,vento,highline plus 1.2 at 16 alloy,unknown,mid,petrol,automatic,7,89419.0,12774.1,1,2,625933.0,100,70.1,0,dealer,0,575000.0,2019
renault,duster,rxz 1.5 petrol mt,unknown,economy,petrol,manual,6,51739.0,8623.2,1,1,310434.0,100,76.8,0,dealer,0,637000.0,2020
maruti suzuki,eeco,5 str with a/c+htr,unknown,economy,petrol,manual,8,85712.0,10714.0,1,1,685696.0,100,67.4,0,dealer,0,430000.0,2018
honda,jazz,1.2l i-vtec v,unknown,mid,petrol,manual,9,46234.0,5137.1,1,2,416106.0,100,68.4,0,dealer,0,349000.0,2017
maruti suzuki,alto k10,vxi,unknown,economy,petrol,manual,12,103196.0,8599.7,1,1,1238352.0,100,53.7,0,dealer,0,262000.0,2014
maruti suzuki,celerio,vxi,unknown,economy,petrol,manual,12,82972.0,6914.3,1,1,995664.0,100,55.7,0,dealer,0,285000.0,2014
skoda,fabia,elegance 1.2 mpi,unknown,mid,petrol,manual,15,61154.0,4076.9,1,2,917310.0,100,48.9,0,dealer,0,235000.0,2011
tata,indica v2,dls,unknown,economy,diesel,manual,20,194701.0,9735.0,1,1,3894020.0,100,20.5,0,dealer,0,102000.0,2006
kia,sonet,htk plus 1.0 turbo petrol imt,unknown,mid,petrol,manual,2,24198.0,12099.0,1,2,48396.0,100,91.6,0,dealer,0,800000.0,2024
volkswagen,ameo,highline1.5l,unknown,mid,diesel,manual,10,59847.0,5984.7,1,2,598470.0,100,64.0,0,dealer,0,400000.0,2016
renault,duster,85 ps rxl diesel,unknown,economy,diesel,manual,12,144386.0,12032.2,1,1,1732632.0,100,49.6,0,dealer,0,503000.0,2014
ford,figo,zxi 1.2 petrol,unknown,mid,petrol,manual,16,91792.0,5737.0,1,2,1468672.0,100,42.8,0,dealer,0,140000.0,2010
honda,brio,v mt,unknown,mid,petrol,manual,14,44775.0,3198.2,1,2,626850.0,100,53.5,0,dealer,0,224000.0,2012
hyundai,elite i20,asta 1.2 (o),unknown,mid,petrol,manual,9,136633.0,15181.4,1,2,1229697.0,100,59.3,1,dealer,0,533000.0,2017
hyundai,grand i10 nios,asta amt 1.2 kappa vtvt,unknown,mid,petrol,automatic,6,51270.0,8545.0,1,2,307620.0,100,76.9,0,dealer,0,550000.0,2020
ford,figo,titanium 1.4 diesel,unknown,mid,diesel,manual,14,65104.0,4650.3,1,2,911456.0,100,51.5,0,dealer,0,153000.0,2012
hyundai,aura,sx 1.2 (o),unknown,mid,petrol,manual,6,13905.0,2317.5,1,2,83430.0,100,80.6,0,dealer,0,585000.0,2020
maruti suzuki,ciaz,zxi+ rs,unknown,economy,petrol,manual,10,59139.0,5913.9,1,1,591390.0,100,64.1,0,dealer,0,560000.0,2016
tata,safari,4x2 lx dicor 2.2 vtt,unknown,economy,diesel,manual,14,57380.0,4098.6,1,1,803320.0,100,52.3,0,dealer,0,190000.0,2012
skoda,fabia,ambiente 1.2 mpi,unknown,mid,petrol,manual,15,88837.0,5922.5,1,2,1332555.0,100,46.1,0,dealer,0,197000.0,2011
hyundai,grand i10,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,8,77720.0,9715.0,1,2,621760.0,100,68.2,0,dealer,0,343000.0,2018
maruti suzuki,swift,zxi plus,unknown,economy,petrol,manual,7,62860.0,8980.0,1,1,440020.0,100,72.7,0,dealer,0,600000.0,2019
renault,kwid,rxt 1.0 amt,unknown,economy,petrol,automatic,7,53355.0,7622.1,1,1,373485.0,100,73.7,0,dealer,0,316000.0,2019
maruti suzuki,celerio,zxi amt (o),unknown,economy,petrol,automatic,9,122052.0,13561.3,1,1,1098468.0,100,60.8,0,dealer,0,380000.0,2017
maruti suzuki,ciaz,alpha 1.5 shvs petrol,unknown,economy,petrol,manual,8,61607.0,7700.9,1,1,492856.0,100,69.8,0,dealer,0,600000.0,2018
skoda,rapid,ambition 1.5 tdi,unknown,mid,diesel,manual,9,103892.0,11543.6,1,2,935028.0,100,62.6,0,dealer,0,570000.0,2017
maruti suzuki,alto 800,lxi,unknown,economy,petrol,manual,14,31786.0,2270.4,1,1,445004.0,100,54.8,0,dealer,0,225728.0,2012
hyundai,santro xing,xl,unknown,mid,petrol,manual,19,107328.0,5648.8,1,2,2039232.0,100,32.3,0,dealer,0,154000.0,2007
maruti suzuki,swift dzire,vxi,unknown,economy,petrol,manual,10,53254.0,5325.4,1,1,532540.0,100,64.7,0,dealer,0,284000.0,2016
mahindra,xuv300,w6 1.2 petrol,unknown,mid,petrol,manual,7,87215.0,12459.3,1,2,610505.0,100,70.3,0,dealer,0,490000.0,2019
maruti suzuki,alto k10,vxi amt,unknown,economy,petrol,automatic,1,4401.0,4401.0,1,1,4401.0,100,96.6,0,dealer,0,530000.0,2025
skoda,superb,l&k 1.8 tsi at,unknown,mid,petrol,automatic,10,100739.0,10073.9,1,2,1007390.0,100,59.9,0,dealer,0,757000.0,2016
maruti suzuki,ertiga,vxi,unknown,economy,petrol,manual,13,88499.0,6807.6,1,1,1150487.0,100,52.2,0,dealer,0,500000.0,2013
maruti suzuki,swift,zxi plus dual tone,unknown,economy,petrol,manual,3,21328.0,7109.3,1,1,63984.0,100,88.9,0,dealer,0,685000.0,2023
nissan,micra active,xv,unknown,mid,petrol,manual,13,129826.0,9986.6,1,2,1687738.0,100,48.0,0,dealer,0,220000.0,2013
maruti suzuki,swift,vdi,unknown,economy,diesel,manual,14,56924.0,4066.0,1,1,796936.0,100,52.3,0,dealer,0,338000.0,2012
fiat,linea,classic 1.4 l,unknown,economy,petrol,manual,13,6899.0,530.7,1,1,89687.0,100,60.3,0,dealer,0,95000.0,2013
hyundai,i20 active,1.2 sx,unknown,mid,petrol,manual,10,68798.0,6879.8,1,2,687980.0,100,63.1,0,dealer,0,441000.0,2016
hyundai,i20,asta 1.2,unknown,mid,petrol,manual,12,58798.0,4899.8,1,2,705576.0,100,58.1,0,dealer,0,450000.0,2014
maruti suzuki,swift,vxi 1.3,unknown,economy,petrol,manual,18,30951.0,1719.5,1,1,557118.0,100,42.9,0,dealer,0,195000.0,2008
toyota,glanza,g isg,unknown,premium,petrol,manual,7,31187.0,4455.3,1,3,218309.0,100,75.9,0,dealer,0,622000.0,2019
renault,duster,rxs cvt,unknown,economy,petrol,automatic,7,60283.0,8611.9,1,1,421981.0,100,73.0,0,dealer,0,550000.0,2019
bmw,x1,sdrive20d,unknown,luxury,diesel,automatic,15,113389.0,7559.3,1,4,1700835.0,100,43.7,0,dealer,0,298000.0,2011
renault,kwid,rxl,unknown,economy,petrol,manual,10,47058.0,4705.8,1,1,470580.0,100,65.3,0,dealer,0,260000.0,2016
maruti suzuki,wagon r 1.0,vxi,unknown,economy,petrol,manual,14,103904.0,7421.7,1,1,1454656.0,100,47.6,0,dealer,0,250000.0,2012
hyundai,grand i10,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,8,20956.0,2619.5,1,2,167648.0,100,73.9,0,dealer,0,409999.0,2018
maruti suzuki,zen estilo,lxi,unknown,economy,cng,manual,15,66027.0,4401.8,1,1,990405.0,100,48.4,0,dealer,0,136527.0,2011
hyundai,elite i20,asta 1.2 (o),unknown,mid,petrol,manual,8,73205.0,9150.6,1,2,585640.0,100,68.7,0,dealer,0,500000.0,2018
tata,tiago nrg,petrol,unknown,economy,petrol,manual,7,34153.0,4879.0,1,1,239071.0,100,75.6,0,dealer,0,460000.0,2019
maruti suzuki,swift,zxi 1.3,unknown,economy,petrol,manual,19,203579.0,10714.7,1,1,3868001.0,100,22.6,0,dealer,0,120000.0,2007
ford,fiesta classic,sxi 1.6 petrol,unknown,mid,petrol,manual,15,96348.0,6423.2,1,2,1445220.0,100,45.4,0,dealer,0,230000.0,2011
renault,duster,110 ps rxz 4x4 mt diesel,unknown,economy,diesel,manual,8,67014.0,8376.8,1,1,536112.0,100,69.3,0,dealer,0,650000.0,2018
mg,astor,super 1.5 mt,unknown,premium,petrol,manual,4,15000.0,3750.0,1,3,60000.0,100,86.5,0,dealer,0,928000.0,2022
toyota,glanza,v cvt,unknown,premium,petrol,automatic,7,55662.0,7951.7,1,3,389634.0,100,73.4,0,dealer,0,612000.0,2019
hyundai,grand i10 nios,sportz amt 1.2 kappa vtvt,unknown,mid,petrol,automatic,6,64913.0,10818.8,1,2,389478.0,100,75.5,0,dealer,0,540000.0,2020
toyota,etios liva,g,unknown,premium,petrol,manual,13,78554.0,6042.6,1,3,1021202.0,100,53.1,0,dealer,0,310000.0,2013
hyundai,verna,xi,unknown,mid,petrol,manual,18,79589.0,4421.6,1,2,1432602.0,100,38.0,0,dealer,0,100000.0,2008
maruti suzuki,swift dzire,vxi,unknown,economy,petrol,manual,13,101994.0,7845.7,1,1,1325922.0,100,50.8,0,dealer,0,260000.0,2013
fiat,grand punto,emotion 1.3,unknown,economy,diesel,manual,15,87009.0,5800.6,1,1,1305135.0,100,46.3,0,dealer,0,139000.0,2011
honda,jazz,1.2l i-vtec vx cvt,unknown,mid,petrol,automatic,7,95475.0,13639.3,1,2,668325.0,100,69.5,0,dealer,0,600000.0,2019
hyundai,i10,magna 1.2,unknown,mid,petrol,manual,14,40128.0,2866.3,1,2,561792.0,100,54.0,0,dealer,0,130000.0,2012
hyundai,i10,sportz 1.2 at,unknown,mid,petrol,automatic,14,102843.0,7345.9,1,2,1439802.0,100,47.7,0,dealer,0,226698.0,2012
honda,elevate,zx cvt,unknown,mid,petrol,automatic,2,13951.0,6975.5,1,2,27902.0,100,92.6,0,dealer,0,1350000.0,2024
hyundai,creta,sx (o) 1.6 petrol,unknown,mid,petrol,manual,8,60600.0,7575.0,1,2,484800.0,100,69.9,0,dealer,0,751000.0,2018
honda,br-v,1.5l i-vtec v cvt,unknown,mid,petrol,automatic,10,97833.0,9783.3,1,2,978330.0,100,60.2,0,dealer,0,712000.0,2016
maruti suzuki,ritz,zxi,unknown,economy,petrol,manual,11,42668.0,3878.9,1,1,469348.0,100,62.7,0,dealer,0,390000.0,2015
chevrolet,cruze,ltz,unknown,economy,diesel,manual,13,77229.0,5940.7,1,1,1003977.0,100,53.3,0,dealer,0,328000.0,2013
hyundai,i10,sportz 1.2,unknown,mid,petrol,manual,14,93164.0,6654.6,1,2,1304296.0,100,48.7,0,dealer,0,200000.0,2012
hyundai,elite i20,asta 1.2 (o),unknown,mid,petrol,manual,9,34884.0,3876.0,1,2,313956.0,100,69.5,0,dealer,0,569438.0,2017
renault,triber,rxz,unknown,economy,petrol,manual,3,75072.0,25024.0,1,1,225216.0,100,83.5,1,dealer,0,683000.0,2023
mahindra,xuv500,w10,unknown,mid,diesel,manual,11,103979.0,9452.6,1,2,1143769.0,100,56.6,0,dealer,0,699000.0,2015
renault,pulse,rxl diesel,unknown,economy,diesel,manual,12,56145.0,4678.8,1,1,673740.0,100,58.4,0,dealer,0,230000.0,2014
hyundai,verna,fluidic vtvt 1.6 ex at,unknown,mid,petrol,automatic,13,166298.0,12792.2,1,2,2161874.0,100,44.4,0,dealer,0,300000.0,2013
tata,nexon,xz plus petrol,unknown,economy,petrol,manual,9,119734.0,13303.8,1,1,1077606.0,100,61.0,0,dealer,0,565000.0,2017
maruti suzuki,sx4,zxi,unknown,economy,petrol,manual,15,43000.0,2866.7,1,1,645000.0,100,50.7,0,dealer,0,255000.0,2011
hyundai,eon,magna +,unknown,mid,petrol,manual,11,18389.0,1671.7,1,2,202279.0,100,65.2,0,dealer,0,275000.0,2015
volkswagen,polo,comfortline 1.2l,unknown,mid,petrol,manual,10,105737.0,10573.7,1,2,1057370.0,100,59.4,0,dealer,0,340000.0,2016
maruti suzuki,vitara brezza,zdi amt,unknown,economy,diesel,automatic,8,131383.0,16422.9,1,1,1051064.0,100,62.9,1,dealer,0,638502.0,2018
hyundai,grand i10 nios,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,6,40452.0,6742.0,1,2,242712.0,100,78.0,0,dealer,0,530000.0,2020
hyundai,grand i10,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,11,72887.0,6626.1,1,2,801757.0,100,59.7,0,dealer,0,340000.0,2015
toyota,urban cruiser hyryder,s at neo drive,unknown,premium,petrol,automatic,2,9844.0,4922.0,1,3,19688.0,100,93.0,0,dealer,0,1220000.0,2024
chevrolet,beat,lt opt diesel,unknown,economy,diesel,manual,15,9786.0,652.4,1,1,146790.0,100,54.0,0,dealer,0,138000.0,2011
honda,amaze,1.5l i-dtec e,unknown,mid,diesel,manual,10,156014.0,15601.4,1,2,1560140.0,100,54.4,1,dealer,0,290000.0,2016
maruti suzuki,swift,vxi 1.3,unknown,economy,petrol,manual,18,88920.0,4940.0,1,1,1600560.0,100,37.1,0,dealer,0,160000.0,2008
maruti suzuki,swift,vxi,unknown,economy,petrol,manual,16,83242.0,5202.6,1,1,1331872.0,100,43.7,0,dealer,0,220000.0,2010
honda,city,1.5l i-dtec sv,unknown,mid,diesel,manual,12,61272.0,5106.0,1,2,735264.0,100,57.9,0,dealer,0,321000.0,2014
hyundai,verna,1.6 vtvt sx,unknown,mid,petrol,manual,10,49531.0,4953.1,1,2,495310.0,100,65.0,0,dealer,0,570000.0,2016
volkswagen,vento,highline diesel 1.6,unknown,mid,diesel,manual,14,178344.0,12738.9,1,2,2496816.0,100,40.2,0,dealer,0,190000.0,2012
maruti suzuki,ertiga,vdi,unknown,economy,diesel,manual,14,98272.0,7019.4,1,1,1375808.0,100,48.2,0,dealer,0,520000.0,2012
mahindra,xuv300,w4 1.2 petrol,unknown,mid,petrol,manual,4,28051.0,7012.8,1,2,112204.0,100,85.2,0,dealer,0,665000.0,2022
hyundai,santro xing,xl,unknown,mid,petrol,manual,20,70408.0,3520.4,1,2,1408160.0,100,33.0,0,dealer,0,110000.0,2006
maruti suzuki,vitara brezza,vdi (o),unknown,economy,diesel,manual,9,64500.0,7166.7,1,1,580500.0,100,66.6,0,dealer,0,526000.0,2017
mahindra,scorpio,2.6 slx crde,unknown,mid,diesel,manual,20,167100.0,8355.0,1,2,3342000.0,100,23.3,0,dealer,0,185000.0,2006
hyundai,grand i10,sportz 1.2 kappa vtvt dual tone,unknown,mid,petrol,manual,7,38096.0,5442.3,1,2,266672.0,100,75.2,0,dealer,0,490000.0,2019
honda,brio,v mt,unknown,mid,petrol,manual,13,137017.0,10539.8,1,2,1781221.0,100,47.3,0,dealer,0,280000.0,2013
honda,amaze,1.2l i-vtec vx,unknown,mid,petrol,manual,7,88689.0,12669.9,1,2,620823.0,100,70.1,0,dealer,0,500000.0,2019
honda,city,1.5l i-vtec zx cvt,unknown,mid,petrol,automatic,6,68247.0,11374.5,1,2,409482.0,100,75.2,0,dealer,0,882651.0,2020
renault,pulse,rxe petrol,unknown,economy,petrol,manual,12,41497.0,3458.1,1,1,497964.0,100,59.9,0,dealer,0,230000.0,2014
maruti suzuki,swift,vxi,unknown,economy,petrol,manual,4,32978.0,8244.5,1,1,131912.0,100,84.7,0,dealer,0,653000.0,2022
tata,nexon,creative 1.2 petrol,unknown,economy,petrol,manual,2,44938.0,22469.0,1,1,89876.0,100,89.5,1,dealer,0,900000.0,2024
mahindra,quanto,c8,unknown,mid,diesel,manual,11,43847.0,3986.1,1,2,482317.0,100,62.6,0,dealer,0,252000.0,2015
maruti suzuki,alto,vxi plus,unknown,economy,petrol,manual,5,30885.0,6177.0,1,1,154425.0,100,81.9,0,dealer,0,340000.0,2021
tata,nexon,xz plus (o) petrol,unknown,economy,petrol,manual,4,42236.0,10559.0,1,1,168944.0,100,83.8,0,dealer,0,850000.0,2022
hyundai,i10,magna 1.1,unknown,mid,petrol,manual,12,49539.0,4128.2,1,2,594468.0,100,59.0,0,dealer,0,320000.0,2014
hyundai,grand i10 nios,asta 1.2 kappa vtvt,unknown,mid,petrol,manual,6,20660.0,3443.3,1,2,123960.0,100,79.9,0,dealer,0,580000.0,2020
maruti suzuki,wagon r 1.0,vxi opt,unknown,economy,petrol,manual,10,157985.0,15798.5,1,1,1579850.0,100,54.2,1,dealer,0,260000.0,2016
honda,brio,s mt,unknown,mid,petrol,manual,14,57877.0,4134.1,1,2,810278.0,100,52.2,0,dealer,0,221000.0,2012
ford,figo aspire,ambiente 1.2 petrol,unknown,mid,petrol,manual,7,19074.0,2724.9,1,2,133518.0,100,77.1,0,dealer,0,430000.0,2019
maruti suzuki,swift dzire,vdi,unknown,economy,diesel,manual,14,73870.0,5276.4,1,1,1034180.0,100,50.6,0,dealer,0,360000.0,2012
renault,kwid,rxt 1.0 amt,unknown,economy,petrol,automatic,10,96175.0,9617.5,1,1,961750.0,100,60.4,0,dealer,0,261000.0,2016
ford,fiesta classic,clxi 1.4 diesel,unknown,mid,diesel,manual,14,116653.0,8332.4,1,2,1633142.0,100,46.3,0,dealer,0,210000.0,2012
maruti suzuki,swift dzire,zxi,unknown,economy,petrol,manual,13,51882.0,3990.9,1,1,674466.0,100,55.8,0,dealer,0,425000.0,2013
volkswagen,vento,highline plus 1.0l tsi at,unknown,mid,petrol,automatic,4,38410.0,9602.5,1,2,153640.0,100,84.2,0,dealer,0,1050000.0,2022
renault,pulse,rxl diesel,unknown,economy,diesel,manual,14,89279.0,6377.1,1,1,1249906.0,100,49.1,0,dealer,0,169000.0,2012
toyota,etios,gd,unknown,premium,diesel,manual,15,193489.0,12899.3,1,3,2902335.0,100,35.7,0,dealer,0,234000.0,2011
ford,new figo,titanium 1.5 petrol at,unknown,mid,petrol,automatic,10,50939.0,5093.9,1,2,509390.0,100,64.9,0,dealer,0,401000.0,2016
hyundai,i20,asta 1.4 crdi,unknown,mid,diesel,manual,16,124675.0,7792.2,1,2,1994800.0,100,39.5,0,dealer,0,175000.0,2010
maruti suzuki,alto k10,vxi,unknown,economy,petrol,manual,15,80099.0,5339.9,1,1,1201485.0,100,47.0,0,dealer,0,190000.0,2011
hyundai,i20,magna (o) 1.4 crdi,unknown,mid,diesel,manual,14,93589.0,6684.9,1,2,1310246.0,100,48.6,0,dealer,0,224000.0,2012
maruti suzuki,swift,vxi 1.3,unknown,economy,petrol,manual,20,127779.0,6389.0,1,1,2555580.0,100,27.2,0,dealer,0,118000.0,2006
renault,duster,110 ps rxl diesel,unknown,economy,diesel,manual,14,96693.0,6906.6,1,1,1353702.0,100,48.3,0,dealer,0,250000.0,2012
renault,kwid,climber 1.0 amt,unknown,economy,petrol,automatic,8,48398.0,6049.8,1,1,387184.0,100,71.2,0,dealer,0,285597.0,2018
honda,jazz,1.2l i-vtec v,unknown,mid,petrol,manual,8,43430.0,5428.8,1,2,347440.0,100,71.7,0,dealer,0,500000.0,2018
maruti suzuki,ignis,zeta 1.2 amt,unknown,economy,petrol,automatic,8,49733.0,6216.6,1,1,397864.0,100,71.0,0,dealer,0,450000.0,2018
skoda,fabia,classic 1.2 tdi,unknown,mid,diesel,manual,15,96151.0,6410.1,1,2,1442265.0,100,45.4,0,dealer,0,130000.0,2011
tata,indica ev2,ls,unknown,economy,diesel,manual,14,130000.0,9285.7,1,1,1820000.0,100,45.0,0,dealer,0,150000.0,2012
maruti suzuki,celerio,vxi amt,unknown,economy,petrol,automatic,11,130060.0,11823.6,1,1,1430660.0,100,54.0,0,dealer,0,250000.0,2015
volkswagen,vento,highline petrol at,unknown,mid,petrol,automatic,12,140259.0,11688.2,1,2,1683108.0,100,50.0,0,dealer,0,280000.0,2014
skoda,rapid,active 1.6 tdi cr mt,unknown,mid,diesel,manual,14,91560.0,6540.0,1,2,1281840.0,100,48.8,0,dealer,0,250000.0,2012
datsun,go,a,unknown,budget,petrol,manual,11,91718.0,8338.0,1,0,1008898.0,100,57.8,0,dealer,0,130000.0,2015
renault,kwid,rxl 1.0,unknown,economy,petrol,manual,6,34392.0,5732.0,1,1,206352.0,100,78.6,0,dealer,0,345000.0,2020
honda,city,1.5l i-vtec sv cvt,unknown,mid,petrol,automatic,10,49787.0,4978.7,1,2,497870.0,100,65.0,0,dealer,0,525000.0,2016
volkswagen,vento,highline diesel 1.6,unknown,mid,diesel,manual,12,76861.0,6405.1,1,2,922332.0,100,56.3,0,dealer,0,287000.0,2014
honda,city,1.5l i-vtec s mt,unknown,mid,petrol,manual,13,113970.0,8766.9,1,2,1481610.0,100,49.6,0,dealer,0,350000.0,2013
ford,ecosport,titanium 1.5l diesel,unknown,mid,diesel,manual,6,157540.0,26256.7,1,2,945240.0,100,66.2,1,dealer,0,629966.0,2020
nissan,sunny,xl,unknown,mid,petrol,manual,13,127568.0,9812.9,1,2,1658384.0,100,48.2,0,dealer,0,278000.0,2013
maruti suzuki,alto k10,vxi amt,unknown,economy,petrol,automatic,10,28964.0,2896.4,1,1,289640.0,100,67.1,0,dealer,0,275000.0,2016
mahindra,marazzo,m2 8 str,unknown,mid,diesel,manual,7,189295.0,27042.1,1,2,1325065.0,100,60.1,1,dealer,0,530000.0,2019
hyundai,i10,era 1.1,unknown,mid,petrol,manual,16,97176.0,6073.5,1,2,1554816.0,100,42.3,0,dealer,0,145000.0,2010
honda,city,1.5l i-vtec e mt,unknown,mid,petrol,manual,14,84780.0,6055.7,1,2,1186920.0,100,49.5,0,dealer,0,292000.0,2012
hyundai,venue,s 1.2,unknown,mid,petrol,manual,4,38013.0,9503.2,1,2,152052.0,100,84.2,0,dealer,0,723000.0,2022
renault,duster,rxl petrol,unknown,economy,petrol,manual,9,78270.0,8696.7,1,1,704430.0,100,65.2,0,dealer,0,453000.0,2017
maruti suzuki,baleno,lxi,unknown,economy,petrol,manual,21,118636.0,5649.3,1,1,2491356.0,100,25.1,0,dealer,0,100000.0,2005
honda,brio,e mt,unknown,mid,petrol,manual,13,58500.0,4500.0,1,2,760500.0,100,55.2,0,dealer,0,231000.0,2013
kia,sonet,hte 1.2,unknown,mid,petrol,manual,4,132904.0,33226.0,1,2,531616.0,100,74.7,1,dealer,0,615000.0,2022
volkswagen,polo,highline1.5l,unknown,mid,diesel,manual,11,150746.0,13704.2,1,2,1658206.0,100,51.9,0,dealer,0,330000.0,2015
maruti suzuki,ciaz,sigma 1.4 mt petrol,unknown,economy,petrol,manual,8,187646.0,23455.8,1,1,1501168.0,100,57.2,1,dealer,0,400000.0,2018
maruti suzuki,alto,lxi,unknown,economy,petrol,manual,15,109339.0,7289.3,1,1,1640085.0,100,44.1,0,dealer,0,82000.0,2011
honda,wr-v,1.5l i-dtec vx mt,unknown,mid,diesel,manual,9,98655.0,10961.7,1,2,887895.0,100,63.1,0,dealer,0,570000.0,2017
honda,wr-v,1.2l i-vtec vx mt,unknown,mid,petrol,manual,8,45313.0,5664.1,1,2,362504.0,100,71.5,0,dealer,0,590000.0,2018
mahindra,kuv100,k6 d 6 str,unknown,mid,diesel,manual,10,81822.0,8182.2,1,2,818220.0,100,61.8,0,dealer,0,279311.0,2016
fiat,grand punto,active 1.3,unknown,economy,diesel,manual,14,93612.0,6686.6,1,1,1310568.0,100,48.6,0,dealer,0,150107.0,2012
maruti suzuki,baleno,zeta petrol 1.2,unknown,economy,petrol,manual,5,8730.0,1746.0,1,1,43650.0,100,84.1,0,dealer,0,690000.0,2021
hyundai,i10,magna 1.1,unknown,mid,petrol,manual,15,104613.0,6974.2,1,2,1569195.0,100,44.5,0,dealer,0,200000.0,2011
renault,kwid,rxl,unknown,economy,petrol,manual,9,62810.0,6978.9,1,1,565290.0,100,66.7,0,dealer,0,275000.0,2017
volkswagen,vento,highline petrol at,unknown,mid,petrol,automatic,14,74703.0,5335.9,1,2,1045842.0,100,50.5,0,dealer,0,200000.0,2012
toyota,camry,v3,unknown,premium,petrol,manual,22,116808.0,5309.5,1,3,2569776.0,100,22.3,0,dealer,0,160000.0,2004
nissan,magnite,xv turbo cvt dual tone,unknown,mid,petrol,automatic,3,13512.0,4504.0,1,2,40536.0,100,89.6,0,dealer,0,698000.0,2023
hyundai,i20,asta 1.4 crdi,unknown,mid,diesel,manual,13,94191.0,7245.5,1,2,1224483.0,100,51.6,0,dealer,0,254000.0,2013
mahindra,scorpio,2.6 slx crde,unknown,mid,diesel,manual,20,120000.0,6000.0,1,2,2400000.0,100,28.0,0,dealer,0,185000.0,2006
maruti suzuki,swift,vxi amt,unknown,economy,petrol,automatic,7,39503.0,5643.3,1,1,276521.0,100,75.0,0,dealer,0,520000.0,2019
maruti suzuki,wagon r 1.0,vxi,unknown,economy,petrol,manual,12,33304.0,2775.3,1,1,399648.0,100,60.7,0,dealer,0,281000.0,2014
hyundai,grand i10 nios,sportz amt 1.2 kappa vtvt,unknown,mid,petrol,automatic,6,41673.0,6945.5,1,2,250038.0,100,77.8,0,dealer,0,565000.0,2020
maruti suzuki,baleno,rs 1.0 petrol,unknown,economy,petrol,manual,8,49131.0,6141.4,1,1,393048.0,100,71.1,0,dealer,0,555000.0,2018
hyundai,xcent,base 1.2,unknown,mid,petrol,manual,11,49731.0,4521.0,1,2,547041.0,100,62.0,0,dealer,0,380000.0,2015
maruti suzuki,baleno,alpha petrol 1.2,unknown,economy,petrol,manual,8,45939.0,5742.4,1,1,367512.0,100,71.4,0,dealer,0,630200.0,2018
hyundai,creta,sx 1.5 petrol,unknown,mid,petrol,manual,6,15974.0,2662.3,1,2,95844.0,100,80.4,0,dealer,0,1150000.0,2020
tata,tiago ev,xz plus tech lux long range,unknown,economy,electric,automatic,3,45356.0,15118.7,1,1,136068.0,100,86.5,1,dealer,0,730000.0,2023
volkswagen,polo,highline diesel,unknown,mid,diesel,manual,15,196161.0,13077.4,1,2,2942415.0,100,35.4,0,dealer,0,225000.0,2011
kia,seltos,x line 1.5 diesel at,unknown,mid,diesel,automatic,5,112307.0,22461.4,1,2,561535.0,100,73.8,1,dealer,0,1082000.0,2021
tata,manza,elan safire,unknown,economy,petrol,manual,14,97813.0,6986.6,1,1,1369382.0,100,48.2,0,dealer,0,205000.0,2012
maruti suzuki,s cross,alpha 1.3,unknown,economy,diesel,manual,8,93096.0,11637.0,1,1,744768.0,100,66.7,0,dealer,0,740000.0,2018
maruti suzuki,swift,vdi,unknown,economy,diesel,manual,13,71826.0,5525.1,1,1,933738.0,100,53.8,0,dealer,0,400000.0,2013
maruti suzuki,swift,zdi,unknown,economy,diesel,manual,12,114580.0,9548.3,1,1,1374960.0,100,52.5,0,dealer,0,400000.0,2014
maruti suzuki,celerio,zxi (o),unknown,economy,petrol,manual,9,79830.0,8870.0,1,1,718470.0,100,65.0,0,dealer,0,306000.0,2017
skoda,rapid,active 1.6 tdi cr mt plus,unknown,mid,diesel,manual,14,130859.0,9347.1,1,2,1832026.0,100,44.9,0,dealer,0,302000.0,2012
hyundai,i10,magna 1.2,unknown,mid,petrol,manual,13,49936.0,3841.2,1,2,649168.0,100,56.0,0,dealer,0,275000.0,2013
renault,kwid,rxl,unknown,economy,petrol,manual,10,53494.0,5349.4,1,1,534940.0,100,64.7,0,dealer,0,250000.0,2016
mahindra,thar,lx petrol ht 4wd at,unknown,mid,petrol,automatic,5,71413.0,14282.6,1,2,357065.0,100,77.9,0,dealer,0,1095000.0,2021
maruti suzuki,esteem,ax,unknown,economy,petrol,automatic,28,43013.0,1536.2,1,1,1204364.0,100,11.7,0,dealer,0,100000.0,1998
