Model,MAE,RMSE,R2,MAPE
Ensemble,38933.29,76869.04,0.9756,6.36
LightGBM,37759.09,75397.27,0.9748,6.26
XGBoost,42346.92,86659.31,0.9712,6.92
CatBoost,58113.21,109357.3,0.96,9.08
