Model,MAE,RMSE,R2,MAPE
Ensemble,19616.28,60980.63,0.9917,3.11
XGBoost,18242.63,61713.09,0.9917,2.89
LightGBM,21967.23,61447.3,0.9909,3.5
CatBoost,43771.21,85344.95,0.9776,6.95
