feature,importance
vehicle_age,6.722819805145264
fuel_type,2.8722662925720215
transmission,2.128842830657959
brand,1.6088931560516357
model,1.003244161605835
variant,0.4905359148979187
odometer_reading,0.453572541475296
owner_count,0.4425666928291321
km_per_year,0.3900178372859955
pincode,0.38513195514678955
certified,0.19674909114837646
seller_type,0.1361721307039261
rto,0.1201917827129364
locality,0.09071049839258194
color,0.058940738439559937
