brand,model,vehicle_age,odometer_reading,fuel_type,transmission,segment_class,selling_price
renault,kwid,4.0,10000.0,petrol,manual,economy,414000.0
kia,seltos,4.0,23879.0,petrol,automatic,economy,1590000.0
maruti suzuki,eeco,7.0,41025.0,petrol,manual,economy,422000.0
hyundai,new i20,3.0,57669.0,petrol,manual,economy,800000.0
renault,kwid,3.0,6950.0,petrol,manual,economy,400000.0
maruti suzuki,swift,8.0,141530.0,diesel,automatic,economy,500000.0
mahindra,bolero neo,3.0,38892.0,diesel,manual,economy,960000.0
mahindra,kuv100 nxt,8.0,64000.0,diesel,manual,economy,440000.0
maruti suzuki,s presso,5.0,36645.0,petrol,automatic,economy,386100.0
maruti suzuki,baleno,9.0,75424.0,diesel,manual,economy,484900.0
maruti suzuki,swift,9.0,75990.0,petrol,manual,economy,530000.0
hyundai,santro xing,20.0,117969.0,petrol,manual,economy,119000.0
volkswagen,taigun,4.0,136897.0,petrol,manual,economy,739600.0
renault,duster,8.0,133919.0,diesel,automatic,economy,657514.0
hyundai,verna,2.0,9500.0,petrol,automatic,economy,1515000.0
renault,triber,6.0,14000.0,petrol,automatic,economy,600000.0
honda,city,11.0,69656.0,petrol,automatic,economy,550000.0
nissan,magnite,5.0,87000.0,petrol,automatic,economy,613000.0
tata,tiago,7.0,26476.0,petrol,automatic,economy,424500.0
honda,amaze,7.0,32191.0,petrol,manual,economy,542873.0
tata,tiago,7.0,52754.0,petrol,automatic,economy,416400.0
maruti suzuki,wagon r 1.0,10.0,63258.0,petrol,manual,economy,326358.0
toyota,camry,20.0,80130.0,petrol,manual,economy,246000.0
renault,triber,3.0,17635.0,petrol,manual,economy,535992.0
mg,astor,4.0,24111.0,petrol,automatic,economy,1200000.0
nissan,micra,9.0,10558.0,petrol,automatic,economy,462326.0
hyundai,venue,4.0,24238.0,petrol,automatic,economy,877000.0
ford,figo,13.0,128407.0,diesel,manual,economy,160000.0
hyundai,creta,4.0,43109.0,petrol,manual,economy,1190000.0
mg,hector,7.0,41910.0,petrol,automatic,economy,897000.0
hyundai,creta,6.0,73857.0,petrol,automatic,economy,1120000.0
skoda,slavia,3.0,7317.0,petrol,manual,economy,1400000.0
hyundai,creta,4.0,31500.0,petrol,manual,economy,1277000.0
mg,hector,7.0,34989.0,petrol,automatic,economy,1194000.0
hyundai,new i20,5.0,36683.0,petrol,manual,economy,698000.0
maruti suzuki,brezza,6.0,59173.0,petrol,manual,economy,750000.0
hyundai,elite i20,8.0,55931.0,petrol,automatic,economy,645000.0
maruti suzuki,baleno,9.0,75424.0,diesel,manual,economy,484900.0
ford,figo aspire,10.0,42899.0,petrol,manual,economy,408811.0
renault,kiger,4.0,22057.0,petrol,automatic,economy,880000.0
tata,tiago,8.0,74489.0,petrol,manual,economy,349900.0
hyundai,elite i20,8.0,35495.0,petrol,automatic,economy,565000.0
maruti suzuki,celerio,2.0,7454.0,petrol,manual,economy,650000.0
chevrolet,beat,15.0,93997.0,diesel,manual,economy,65000.0
maruti suzuki,swift,2.0,48036.0,petrol,automatic,economy,690000.0
honda,city,5.0,48508.0,petrol,manual,economy,770000.0
maruti suzuki,alto k10,3.0,17000.0,petrol,automatic,economy,436000.0
hyundai,elite i20,8.0,89392.0,diesel,manual,economy,508700.0
toyota,urban cruiser hyryder,1.0,16099.0,petrol,manual,economy,1098000.0
hyundai,i20,3.0,38500.0,petrol,automatic,economy,935000.0
mg,hector,7.0,82234.0,petrol,automatic,economy,883600.0
hyundai,i20,12.0,57382.0,petrol,manual,economy,425000.0
maruti suzuki,vitara brezza,6.0,37921.0,petrol,automatic,economy,782100.0
mahindra,xuv500,10.0,124193.0,diesel,manual,economy,779346.0
renault,duster,8.0,67014.0,diesel,manual,economy,650000.0
maruti suzuki,alto 800,12.0,98877.0,petrol,manual,economy,160000.0
maruti suzuki,swift,4.0,29500.0,petrol,automatic,economy,537000.0
tata,tiago,10.0,64168.0,petrol,manual,economy,286180.0
tata,nano,11.0,39500.0,petrol,manual,economy,151000.0
hyundai,alcazar,3.0,71625.0,diesel,automatic,economy,1561613.0
maruti suzuki,baleno,8.0,38922.0,petrol,manual,economy,523000.0
maruti suzuki,celerio,7.0,29006.0,petrol,automatic,economy,385000.0
mahindra,scorpio classic,2.0,8348.0,diesel,manual,economy,1520000.0
volkswagen,taigun,3.0,181626.0,petrol,manual,economy,900000.0
maruti suzuki,swift,17.0,105590.0,petrol,manual,economy,194000.0
hyundai,i20,3.0,22861.0,petrol,manual,economy,720000.0
honda,jazz,10.0,119743.0,petrol,manual,economy,367000.0
maruti suzuki,wagon r 1.0,8.0,89022.0,petrol,automatic,economy,359176.0
maruti suzuki,swift,6.0,43006.0,petrol,automatic,economy,600000.0
mahindra,xuv300,5.0,110613.0,petrol,manual,economy,601000.0
ford,figo,14.0,138000.0,diesel,manual,economy,201000.0
hyundai,grand i10,11.0,46500.0,petrol,manual,economy,422000.0
tata,nexon ev,4.0,92300.0,electric,automatic,economy,934000.0
audi,a4,12.0,82996.0,diesel,automatic,luxury,977000.0
honda,city,11.0,69656.0,petrol,automatic,economy,550000.0
hyundai,i20,13.0,66010.0,petrol,manual,economy,288246.0
tata,hexa,8.0,81611.0,diesel,automatic,economy,600000.0
hyundai,venue,1.0,15806.0,petrol,manual,economy,985000.0
hyundai,i10,12.0,112345.0,petrol,manual,economy,177000.0
honda,amaze,7.0,71337.0,petrol,manual,economy,525000.0
hyundai,i10,14.0,65000.0,petrol,manual,economy,265000.0
tata,altroz,4.0,41000.0,diesel,manual,economy,744000.0
mahindra,kuv100,10.0,113552.0,petrol,manual,economy,300000.0
tata,harrier,3.0,34902.0,diesel,manual,economy,1750000.0
mahindra,xuv500,8.0,69561.0,diesel,manual,economy,1109000.0
mahindra,xuv300,4.0,37608.0,petrol,manual,economy,830000.0
