brand,model,vehicle_age,odometer_reading,fuel_type,transmission,segment_class,selling_price
hyundai,santro,15.0,75626.0,petrol,manual,economy,200000.0
skoda,octavia,5.0,73572.0,petrol,automatic,economy,1819000.0
maruti suzuki,alto 800,13.0,37799.0,petrol,manual,economy,260000.0
hyundai,elite i20,9.0,91476.0,petrol,manual,economy,550000.0
maruti suzuki,ciaz,10.0,110242.0,diesel,manual,economy,475000.0
jeep,compass,7.0,49172.0,diesel,manual,economy,1310000.0
maruti suzuki,alto k10,10.0,35265.0,petrol,manual,economy,300000.0
ford,figo,14.0,91000.0,diesel,manual,economy,189000.0
maruti suzuki,celerio,10.0,62165.0,petrol,manual,economy,310000.0
nissan,terrano,12.0,83912.0,diesel,manual,economy,413484.0
tata,punch,4.0,15484.0,petrol,manual,economy,514000.0
maruti suzuki,swift,10.0,76433.0,petrol,manual,economy,435000.0
hyundai,elite i20,8.0,59192.0,petrol,manual,economy,569000.0
mahindra,xuv500,11.0,62607.0,diesel,manual,economy,770000.0
mahindra,verito,15.0,63921.0,diesel,manual,economy,195000.0
renault,kwid,4.0,10758.0,petrol,automatic,economy,421400.0
ford,freestyle,5.0,29000.0,petrol,manual,economy,616000.0
renault,kwid,9.0,56496.0,petrol,automatic,economy,276900.0
maruti suzuki,swift,9.0,95272.0,petrol,manual,economy,480510.0
mahindra,thar,2.0,16845.0,petrol,automatic,economy,1378000.0
volkswagen,virtus,4.0,55500.0,petrol,manual,economy,1021000.0
ford,figo,15.0,73500.0,petrol,manual,economy,202000.0
chevrolet,sail uva,12.0,266197.0,diesel,manual,economy,150000.0
hyundai,verna,14.0,170381.0,diesel,manual,economy,378000.0
hyundai,i20,13.0,45198.0,petrol,manual,economy,360000.0
mahindra,xuv500,12.0,95566.0,diesel,manual,economy,600000.0
mahindra,xuv300,6.0,64000.0,petrol,manual,economy,800000.0
maruti suzuki,swift,14.0,215821.0,diesel,manual,economy,275000.0
hyundai,verna,14.0,92935.0,petrol,manual,economy,338000.0
hyundai,verna,13.0,118000.0,diesel,manual,economy,436000.0
hyundai,creta,10.0,56504.0,petrol,manual,economy,750000.0
kia,seltos,6.0,71000.0,diesel,automatic,economy,1201000.0
maruti suzuki,alto k10,10.0,34300.0,petrol,automatic,economy,333398.0
mahindra,xuv300,6.0,68252.0,petrol,manual,economy,700000.0
hyundai,verna,11.0,63855.0,petrol,manual,economy,520000.0
renault,kwid,6.0,52498.0,petrol,automatic,economy,350000.0
land rover,discovery 4,14.0,201079.0,diesel,automatic,luxury,1110000.0
ford,ecosport,7.0,54116.0,petrol,manual,economy,617085.0
volkswagen,polo,12.0,71885.0,petrol,manual,economy,334000.0
ford,figo,14.0,68422.0,diesel,manual,economy,174000.0
tata,tiago,6.0,62785.0,petrol,automatic,economy,507301.0
skoda,rapid,8.0,68818.0,diesel,automatic,economy,650000.0
maruti suzuki,ciaz,5.0,52000.0,petrol,automatic,economy,830000.0
maruti suzuki,s presso,1.0,957.0,petrol,manual,economy,442142.0
kia,seltos,4.0,22925.0,petrol,manual,economy,1152000.0
skoda,rapid,13.0,136218.0,petrol,manual,economy,222000.0
hyundai,i10,13.0,42889.0,petrol,manual,economy,241000.0
