feature,importance
vehicle_age,40304.51092814538
model,18321.89858440333
odometer_reading,13051.077069806168
km_per_year,12723.208419674775
brand,11728.126365881646
variant,7908.319284793921
transmission,6664.13595892326
fuel_type,5333.774007701082
rto,1027.710639945697
pincode,981.8500944562256
owner_count,633.6703506938647
locality,445.31457412126474
color,172.07831419236027
certified,158.05628306325525
seller_type,12.809382369508967
