Model,MAE,RMSE,R2,MAPE
LightGBM,35811.9,77118.67,0.9777,6.01
Ensemble,35811.9,77118.67,0.9777,6.01
XGBoost,40065.4,81667.2,0.9738,6.77
CatBoost,55109.66,116861.15,0.9612,8.79
