Model,MAE,RMSE,R2,MAPE
Ensemble,38623.85,76167.21,0.9756,6.37
LightGBM,37615.51,74562.18,0.9749,6.27
XGBoost,40619.11,77845.8,0.9732,6.76
CatBoost,55526.31,104519.08,0.9629,8.77
