iter	Passed	Remaining
403	51043	75301
404	51114	75093
405	51216	74933
406	51332	74791
407	51494	74717
408	51648	74630
409	51779	74511
410	51928	74417
411	52040	74271
412	52128	74090
413	52218	73912
414	52369	73822
415	52531	73745
416	52652	73611
417	52751	73448
418	52856	73293
419	52999	73189
420	53162	73114
421	53261	72951
422	53330	72745
423	53397	72540
424	53510	72397
425	53637	72271
426	53761	72143
427	53878	72005
428	53995	71868
429	54110	71727
430	54237	71603
431	54350	71460
432	54435	71282
433	54524	71108
434	54635	70963
435	54750	70824
436	54879	70703
437	55017	70593
438	55141	70465
439	55282	70359
440	55373	70189
441	55434	69983
442	55490	69769
443	55553	69566
444	55607	69353
445	55673	69154
446	55784	69013
447	55895	68870
448	55998	68720
449	56126	68599
450	56237	68458
451	56312450	562452	56406451	564453	56537452	565454	56628	67829
455	56703	67646
456	56770	67453
457	56836	67260
458	56902	67067
459	56983	66894
460	57048	66700
461	57119460	570462	57179461	571463	57247	66131
464	57317	65946
465	57379	65752
466	57460	65580
467	57527	65394
468	57587467	575469	57648468	576470	57707469	576471	57758470	577472	57814471	578473	57881472	578474	57944473	579475	58031474	580476	58093475	58121	63982
476	58188	63800
477	58252	63614
478	583480	58342479	58382	63247
480	58458	63076
481	58525	62896
482	58602	62727
483	58668	62546
484	58742	62376
485	58809	62197
486	58871	62014
487	58951	61851
488	59019	61675
489	59095	61507
490	59157	61326
491	59234	61161
492	59324	61009
493	59410	60853
494	59477	60679
495	59547	60508
496	59610	60330
497	59675	60155
498	59747	59986
499	59833	59833
500	59906	59667
501	59970	59492
502	60046	59330
503	60108	59154
504	60196	59004
505	60281	58851
506	60359	58692
507	60421	58518
508	60490	58351
509	60553	58178
510	60628	58018
511	60712	57866
512	60819	57736
513	60891	57574
514	60958	57407
515	61029	57245
516	61094	57077
517	61171	56919
518	61245	56760
519	61321	56604
520	61403	56453
521	61465	56284
522	61523	56112
523	61591	55949
524	61653	55782
525	61718	55617
526	61776	55446
527	61833	55275
528	61897	55111
529	61957	54943
530	62015	54774
531	62069	54602
532	62116	54424
533	62186	54267
534	62250	54105
535	62310	53940
536	62366	53772
537	62421	53603
538	62481	53439
539	62534	53270
540	62586	53100
541	62641	52933
542	62700	52770
543	62757	52605
544	62817	52443
545	62879	52284
546	62955	52136
547	63051	52006
548	63134	51864
549	63195	51705
550	63245	51537
551	63310	51382
552	63364	51218
553	63428	51063
554	63487	50904
555	63550	50749
556	63604	50586
557	63684	50445
558	63751	50293
559	63801	50129
560	63851	49965
561	63907	49806
562	63963	49648
563	64018	49489
564	64062	49322
565	64113	49161
566	64167	49002
567	64230	48851
568	64303	48708
569	64367	48558
570	64446	48419
571	64523	48280
572	64589	48131
573	64670	47995
574	64735	47848
575	64803	47702
576	64857	47546
577	64913	47393
578	64965	47237
579	65025	47087
580	65087	46939
581	65146	46789
582	65205	46639
583	65265	46490
584	65336	46349
585	65401	46204
586	65455	46052
587	65518	45907
588	65577	45759
589	65632	45608
590	65683	45456
591	65749	45313
592	65799	45160
593	65850	45009
594	65898	44855
595	65958	44710
596	66011	44560
597	66066	44412
598	66122	44265
599	66185	44123
600	66245	43979
601	66301	43834
602	66362	43691
603	66424	43549
604	66495	43414
605	66566	43279
606	66642	43147
607	66711	43011
608	66779	42875
609	66856	42744
610	66924	42608
611	66991	42471
612	67064	42339
613	67138	42207
614	67206	42072
615	67271	41935
616	67336	41798
617	67403	41663
618	67478	41533
619	67544	41398
620	67622	41270
621	67694	41139
622	67770	41010
623	67839	40877
624	67910	40746
625	67989	40619
626	68052	40484
627	68122	40352
628	68212	40233
629	68302	40114
630	68392	39994
631	68461	39863
632	68526	39730
633	68595	39599
634	68654	39462
635	68708	39323
636	68766	39187
637	68831	39055
638	68890	38919
639	68944	38781
640	69004	38646
641	69070	38516
642	69150	38393
643	69207	38257
644	69271	38126
645	69337	37995
646	69394	37861
647	69454	37728
648	69508	37592
649	69563	37457
650	69623	37324
651	69672	37187
652	69733	37055
653	69787	36921
654	69848	36790
655	69905	36657
656	69975	36532
657	70034	36401
658	70095	36271
659	70153	36139
660	70212	36009
661	70271	35878
662	70328	35747
663	70406	35627
664	70489	35509
665	70549	35380
666	70615	35254
667	70673	35125
668	70728	34994
669	70788	34865
670	70845	34736
671	70903	34607
672	70951	34474
673	71016	34349
674	71072	34220
675	71130	34092
676	71182	33961
677	71237	33832
678	71289	33702
679	71334	33568
680	71385	33439
681	71441	33311
682	71498	33184
683	71554	33057
684	71605	32928
685	71666	32803
686	71719	32675
687	71771	32547
688	71829	32422
689	71883	32295
690	71933	32167
691	71981	32038
692	72031	31909
693	72082	31782
694	72137	31657
695	72191	31531
696	72233	31401
697	72279	31272
698	72329	31146
699	72378	31019
700	72424	30891
701	72473	30765
702	72520	30638
703	72565	30510
704	72611	30383
705	72655	30255
706	72704	30130
707	72757	30007
708	72808	29883
709	72865	29762
710	72934	29645
711	73001	29528
712	73061	29409
713	73139	29296
714	73195	29175
715	73260	29058
716	73323	28940
717	73383	28821
718	73454	28707
719	73511	28587
720	73572	28469
721	73640	28354
722	73702	28237
723	73766	28121
724	73827	28003
725	73897	27889
726	73952	27770
727	74006	27650
728	74080	27538
729	74139	27421
730	74205	27306
731	74268	27191
732	74342	27079
733	74411	26966
734	74486	26855
735	74551	26741
736	74608	26624
737	74678	26511
738	74746	26398
739	74809	26284
740	74871	26169
741	74941	26057
742	75010	25945
743	75074	25832
744	75141	25719
745	75204	25605
746	75267	25492
747	75329	25378
748	75389	25264
749	75460	25153
750	75521	25039
751	75583	24926
752	75647	24813
753	75708	24700
754	75774	24589
755	75838	24477
756	75899	24363
757	75962	24251
758	76031	24141
759	76102	24032
760	76164	23920
761	76232	23810
762	76292	23697
763	76359	23587
764	76424	23476
765	76482	23364
766	76542	23252
767	76600	23139
768	76644	23023
769	76701	22910
770	76759	22798
771	76817	22687
772	76872	22574
773	76935	22464
774	76998	22354
775	77054	22242
776	77111	22131
777	77164	22018
778	77212	21904
779	77273	21795
780	77329	21683
781	77377	21570
782	77427	21458
783	77478	21346
784	77535	21235
785	77595	21126
786	77646	21014
787	77699	20903
788	77759	20795
789	77817	20685
790	77876	20576
791	77934	20467
792	77995	20359
793	78046	20248
794	78103	20139
795	78159	20030
796	78215	19922
797	78269	19812
798	78328	19704
799	78385	19596
800	78438	19487
801	78495	19379
802	78548	19270
803	78610	19163
804	78666	19055
805	78720	18947
806	78776	18840
807	78834	18732
808	78890	18625
809	78941	18517
810	78994	18409
811	79051	18302
812	79107	18195
813	79164	18089
814	79217	17981
815	79281	17877
816	79343	17772
817	79396	17665
818	79443	17557
819	79498	17450
820	79550	17344
821	79598	17236
822	79640	17128
823	79696	17022
824	79746	16915
825	79793	16808
826	79837	16701
827	79883	16594
828	79925	16486
829	79968	16379
830	80016	16272
831	80053	16164
832	80090	16056
833	80127	15948
834	80170	15842
835	80206	15734
836	80243	15626
837	80278	15519
838	80321	15413
839	80360	15306
840	80398	15200
841	80437	15094
842	80480	14988
843	80522	14883
844	80558	14776
845	80594	14670
846	80641	14566
847	80688	14463
848	80732	14358
849	80772	14254
850	80807	14148
851	80846	14043
852	80883	13938
853	80920	13834
854	80954	13729
855	80994	13625
856	81029	13520
857	81064	13416
858	81096	13311
859	81130	13207
860	81169	13104
861	81205	13000
862	81240	12896
863	81277	12793
864	81312	12690
865	81345	12586
866	81380	12483
867	81413	12380
868	81446	12277
869	81478	12174
870	81515	12072
871	81549	11970
872	81583	11868
873	81616	11766
874	81650	11664
875	81681	11562
876	81723	11461
877	81754	11360
878	81790	11258
879	81822	11157
880	81859	11057
881	81894	10956
882	81927	10855
883	81963	10755
884	81994	10654
885	82031	10554
886	82068	10455
887	82102	10355
888	82137	10255
889	82171	10156
890	82215	10057
891	82246	9958
892	82276	9858
893	82310	9759
894	82345	9660
895	82375	9561
896	82413	9463
897	82450	9365
898	82488	9267
899	82521	9169
900	82556	9071
901	82588	8973
902	82621	8875
903	82655	8777
904	82688	8680
905	82724	8582
906	82756	8485
907	82794	8388
908	82830	8292
909	82874	8196
910	82907	8099
911	82942	8003
912	82977	7906
913	83014	7811
914	83051	7715
915	83086	7619
916	83121	7523
917	83155	7427
918	83187	7332
919	83223	7236
920	83261	7141
921	83296	7046
922	83332	6951
923	83362	6856
924	83398	6762
925	83422	6666
926	83447	6571
927	83473	6476
928	83513	6382
929	83541	6288
930	83566	6193
931	83593	6099
932	83611	6004
933	83634	5909
934	83654	5815
935	83680	5721
936	83703	5627
937	83727	5534
938	83753	5440
939	83775	5347
940	83800	5254
941	83824	5161
942	83848	5068
943	83872	4975
944	83897	4882
945	83921	4790
946	83945	4698
947	83973	4606
948	83996	4514
949	84026	4422
950	84054	4330
951	84077	4239
952	84101	4147
953	84124	4056
954	84147	3965
955	84173	3874
956	84197	3783
957	84222	3692
958	84250	3601
959	84275	3511
960	84296	3420
961	84320	3330
962	84344	3240
963	84367	3150
964	84391	3060
965	84416	2971
966	84441	2881
967	84468	2792
968	84490	2702
969	84514	2613
970	84537	2524
971	84559	2435
972	84584	2347
973	84609	2258
974	84635	2170
975	84662	2081
976	84687	1993
