brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
hyundai,new i20 n line,n8 gdi dct,hebbal,ka-04,petrol,automatic,dealer,grey,4.0,43255.0,10813.8,1,1.0,560064.0,833500.0
nissan,terrano,xv d thp 110 ps,m paduka mandir road,ka-53,diesel,manual,dealer,unknown,12.0,178170.0,14847.5,2,1.0,,450000.0
nissan,sunny,xv,electronic city,ka-53,petrol,manual,dealer,white,15.0,121965.0,8131.0,4,1.0,560100.0,188000.0
tata,punch,creative amt,whitefield,ka-03,petrol,automatic,dealer,grey,4.0,27000.0,6750.0,2,1.0,560066.0,688000.0
hyundai,creta,e,unknown,ka-03,diesel,manual,unknown,unknown,5.0,102015.0,20403.0,1,,,1158000.0
maruti suzuki,dzire,vxi,c v raman nagar,hr-26,petrol,manual,dealer,grey,12.0,85897.0,7158.1,1,1.0,560003.0,255000.0
hyundai,creta,sx plus at,hebbal,ka-05,petrol,automatic,dealer,white,8.0,51000.0,6375.0,1,1.0,560103.0,876000.0
maruti suzuki,swift,zxi amt,malleshwaram,ka-53,petrol,automatic,dealer,unknown,3.0,11500.0,3833.3,1,1.0,560003.0,774000.0
maruti suzuki,eeco,5 str ac,whitefield,ka-03,petrol,manual,dealer,silver,2.0,8180.0,4090.0,1,1.0,560066.0,540654.0
maruti suzuki,new wagon-r,zxi plus,yelahanka,ka-51,petrol,manual,dealer,black,4.0,39206.0,9801.5,2,1.0,560064.0,550000.0
maruti suzuki,s-presso,vxi plus amt,bannerghatta,ka-03,petrol,automatic,dealer,grey,5.0,20500.0,4100.0,2,1.0,560076.0,434000.0
hyundai,grand i10,asta kappa,unknown,ka-04,petrol,manual,dealer,unknown,10.0,11500.0,1150.0,1,1.0,,477000.0
hyundai,grand i10,asta at kappa,koramangala,ka-04,petrol,automatic,dealer,orange,10.0,54288.0,5428.8,1,1.0,560034.0,430000.0
hyundai,creta,e plus,banaswadi,ka-03,petrol,manual,dealer,white,8.0,71782.0,8972.8,1,1.0,560066.0,850000.0
kia,sonet,gtx plus at,koramangala,ka-05,diesel,automatic,dealer,red,3.0,56351.0,18783.7,2,1.0,560034.0,998700.0
maruti suzuki,swift,zxi amt,unknown,ka-02,petrol,automatic,dealer,unknown,7.0,79104.0,11300.6,1,,,590000.0
renault,kwid,rxt (o,koramangala,ka-09,petrol,manual,dealer,silver,8.0,55230.0,6903.8,2,1.0,560034.0,278931.0
tata,tiago,xt,hebbal,ka-01,petrol,manual,dealer,red,8.0,45406.0,5675.8,1,1.0,560023.0,386070.0
maruti suzuki,alto k10,vxi,20 srujana teja nilaya indragandhi street 3rd main a narayanapura,ka-04,petrol,manual,dealer,grey,9.0,51110.0,5678.9,1,1.0,560066.0,325000.0
hyundai,i20,sportz,gandhi nagar,ka-42,petrol,manual,dealer,unknown,10.0,117686.0,11768.6,1,1.0,560009.0,448000.0
maruti suzuki,dzire,zxi,yeshwanthpur,ka-05,petrol,manual,dealer,silver,10.0,49600.0,4960.0,1,1.0,560022.0,437176.0
renault,triber,rxz easy-r amt,unknown,ka-53,petrol,automatic,dealer,unknown,4.0,10000.0,2500.0,1,0.0,,655000.0
tata,zest,xt,thanisandra,tr-03,petrol,manual,dealer,unknown,10.0,78979.0,7897.9,1,1.0,,250000.0
volkswagen,vento,highline plus automatic,bannerghatta,ka-03,petrol,automatic,dealer,grey,4.0,42500.0,10625.0,1,1.0,560076.0,881000.0
hyundai,grand i10,sportz kappa,yeshwanthpur,ka-04,petrol,manual,dealer,grey,9.0,51124.0,5680.4,2,1.0,560022.0,367500.0
volkswagen,vento,highline plus at,yeshwanthpur,ka-05,petrol,automatic,dealer,grey,8.0,87680.0,10960.0,2,1.0,560022.0,483100.0
hyundai,xcent,s,whitefield,ka-05,petrol,manual,dealer,red,8.0,36994.0,4624.2,3,1.0,560066.0,366000.0
maruti suzuki,ertiga,vdi,hebbal,ka-05,diesel,manual,dealer,red,7.0,124999.0,17857.0,2,1.0,560023.0,856942.0
maruti suzuki,esteem,lx,kr puram,ka-02,petrol,manual,dealer,white,27.0,22522.0,834.1,2,1.0,560036.0,104000.0
